ruling_type,sheet_row,team,country,level,register,option_a,option_b,more_options,suggested,ruling,how_to_rule
1 ambiguous: pick the candidate,8584,Belgrano AC B,Argentina,,v1,"rt2c1edc3ca5d987 = Belgrano Res. [men; last season 2025; 2 providers: opta, wyscout]","rtca7f435d9b3ca2 = Belgrano U20 [men; last season 2026; 3 providers: api_football, opta, wyscout]",,,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): []; R2 subset: Belgrano Res.: missing ['ac', 'b']; Belgrano U20: missing ['ac', 'b']; R3 city []: 0"
1 ambiguous: pick the candidate,8516,CA Palermo,Argentina,,v0,reep_t18b4dea5 = Club Atlético Palermo (Paraná),reep_taee26918 = Club Sportivo Palermo,,,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): []; R2 subset: Club Atlético Palermo (Paraná): qualifier 'parana' is not this club's place; Club Sportivo Palermo: missing ['ca']; R3 city ['aires', 'buenos']: 0"
1 ambiguous: pick the candidate,8517,Club de Gimnasia y Esgrima,Argentina,,v1,"rtb9fb0f1628e2d4 = Gimnasia Jujuy [men; last season 2026; 7 providers: api_football, eafc, fotmob, opta, skillcorner]","rtbb1de26d063900 = Gimnasia Chivilcoy [men; last season 2026; 4 providers: api_football, opta, sportmonks, wyscout]",,,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): []; R2 subset: Gimnasia Jujuy: missing ['club', 'de', 'y', 'esgrima']; Gimnasia Chivilcoy: missing ['club', 'de', 'y', 'esgrima']; R3 city ['plata']: 0"
1 ambiguous: pick the candidate,8563,Jorge Newbery,Argentina,,v0,reep_t08642c63 = Club Atlético Jorge Newbery (Comodoro Rivadavia),reep_t9831556d = Club Atlético Jorge Newbery,,,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): ['Club Atlético Jorge Newbery']; R2 subset: Club Atlético Jorge Newbery (Comodoro Rivadavia): qualifier 'comodoro rivadavia' is not this club's place; Club Atlético Jorge Newbery: extras ['atletico']; R3 city []: 0"
1 ambiguous: pick the candidate,8567,Palermo AC,Argentina,,v0,reep_t18b4dea5 = Club Atlético Palermo (Paraná),reep_taee26918 = Club Sportivo Palermo,,,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): []; R2 subset: Club Atlético Palermo (Paraná): qualifier 'parana' is not this club's place; Club Sportivo Palermo: missing ['ac']; R3 city []: 0"
1 ambiguous: pick the candidate,1250,Wiener AC,Austria,,v1,"rt7a17ab38a1af21 = Wiener SK [men; last season 2018; 2 providers: opta, wyscout]","rtf4dce4518d422d = Wiener Sport-Club [men; last season 1994; 2 providers: fm, wyscout]",,,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): []; R2 subset: Wiener SK: missing ['ac']; Wiener Sport-Club: missing ['ac']; R3 city ['vienna']: 0"
1 ambiguous: pick the candidate,8955,AD Guarany,Brazil,,v1,"rt64245ec2126306 = Guarany de Bagé [men; last season 2026; 6 providers: api_football, espn, fifa, fotmob, opta]","rt776ae4feafde8b = Guarany de Sobral [men; last season 2021; 3 providers: api_football, opta, wyscout]",,,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): []; R2 subset: Guarany de Bagé: missing ['ad']; Guarany de Sobral: missing ['ad']; R3 city []: 0"
1 ambiguous: pick the candidate,9347,AE Real,Brazil,,v1,"rt3ff12f4b4a90b2 = Real SC [men; last season 2017; 2 providers: opta, wyscout]","rtdd00b28d9607ef = Real [men; last season 2012; 2 providers: opta, wyscout]",,,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): []; R2 subset: Real SC: missing ['ae']; Real: missing ['ae']; R3 city []: 0"
1 ambiguous: pick the candidate,8928,CA Aliança,Brazil,,v0,reep_t825e609d = Clube Atlético Aliança,reep_te99d5955 = Aliança Futebol Clube,,,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): []; R2 subset: Clube Atlético Aliança: missing ['ca']; Aliança Futebol Clube: missing ['ca']; R3 city []: 0"
1 ambiguous: pick the candidate,9363,CA Metropolitano,Brazil,,v0,reep_t8a0fb69a = Metropolitano Athletico Club,reep_t97952d37 = Clube Atlético Metropolitano,,reep_t97952d37,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): []; R2 subset: Metropolitano Athletico Club: missing ['ca']; Clube Atlético Metropolitano: missing ['ca']; R3 city ['blumenau']: 0"
1 ambiguous: pick the candidate,8865,Cruzeiro do Sul,Brazil,,v0,reep_t73f5a26a = Associação Esportiva Cruzeiro do Sul,reep_t761791d4 = Cruzeiro do Sul Futebol Clube,,,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): ['Associação Esportiva Cruzeiro do Sul', 'Cruzeiro do Sul Futebol Clube']; R2 subset: Associação Esportiva Cruzeiro do Sul: extras ['associacao', 'esportiva']; Cruzeiro do Sul Futebol Clube: extras ['futebol']; R3 city ['brasilia']: 0; R8 founded vs tables 1964-1964: founded [1915], 1 founded before first season"
1 ambiguous: pick the candidate,9381,Metropolitano,Brazil,,v0,reep_t8a0fb69a = Metropolitano Athletico Club,reep_t97952d37 = Clube Atlético Metropolitano,,reep_t97952d37,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): ['Metropolitano Athletico Club', 'Clube Atlético Metropolitano']; R2 subset: Metropolitano Athletico Club: extras ['athletico']; Clube Atlético Metropolitano: extras ['atletico']; R3 city ['blumenau']: 0"
1 ambiguous: pick the candidate,9408,Paulistano,Brazil,,v0,reep_t0b6cc903 = Paulistano Futebol Clube,reep_tb8bdf6f4 = Clube Atlético Paulistano,,,,"write the reep id of the correct senior men's club in ruling, or NONE. Rules tried: R1 exact: 0; pool (carry the name): ['Paulistano Futebol Clube', 'Clube Atlético Paulistano']; R2 subset: Paulistano Futebol Clube: extras ['futebol']; Clube Atlético Paulistano: extras ['atletico']; R3 city []: 0"
