sheet_row,team,reep_v1_id,reep_v1_label,seasons_of_evidence,tier,evidence,predecessor_ids
8456,Central Córdoba,rtb025b22d40274e,Central Córdoba SdE,13,AMB-history,2025 Liga Profesional Argentina | 2026 Liga Profesional Argentina | 2025 Liga Profesional Argentina | 2026 Liga Profesional Argentina | 2020 Copa de la Superliga | 2021 Liga Profesional Argentina,
8510,Talleres (RE),rt831eb538bbf962,Talleres Remedios,2,AMB-history,2024 Primera Nacional | 2025 Primera Nacional,
8626,Juventud Unida,rt12e074a7897bff,Juventud Unida G.,4,AMB-history,2015 Primera Nacional | 2016 Primera Nacional | 2016/2017 Primera Nacional | 2017/2018 Primera Nacional,
1492,Eendracht Aalst,rt46d9f2afc40dd2,Eendracht Aalst,17,AMB-history,1960/1961 First Division A | 1961/1962 First Division A | 1991/1992 First Division A | 1994/1995 First Division A | 1995/1996 First Division A | 1996/1997 First Division A,
1586,KRC Harelbeke,rta113fca12daa33,Zuid-West-Vlaanderen,6,AMB-history,1995/1996 First Division A | 1996/1997 First Division A | 1997/1998 First Division A | 1998/1999 First Division A | 1999/2000 First Division A | 2000/2001 First Division A,
1544,KSK Heist,rt1e29f28f520288,Heist,6,AMB-history,2010/2011 Cup | 2011/2012 Challenger Pro League | 2012/2013 Challenger Pro League | 2013/2014 Challenger Pro League | 2014/2015 Challenger Pro League | 2015/2016 Challenger Pro League,
8952,São Raimundo,rt8db290066fa26b,São Raimundo AM,2,AMB-history,2006 Serie B | 2022 Copa do Brasil,
1715,PFC Minyor Pernik,rt723b7a5f3d6087,Minyor Pernik,7,AMB-history,1999/2000 First League | 2000/2001 First League | 2008/2009 First League | 2009/2010 First League | 2010/2011 First League | 2011/2012 First League,
1721,PFK Dobrudzha,rte8b13035ef4631,Dobrudzha 1919,3,AMB-current,1999/2000 First League | 2002/2003 First League | 2025/2026 First League,rt59dcd8e291a162=Dobrudzha (last 2007)
1740,PFC Vidima-Rakovski,,,10,CONFLICT,rt517467dfe098bf=Vidima-Rakovski: 2003/2004 First League | 2004/2005 First League | 2007/2008 First League || rt6b0d198746bb82=Vidima-Rakovski: 2003/2004 First League | 2004/2005 First League | 2007/2008 First League,
1767,PFC Lokomotiv Mezdra,rte9772f9dc510ef,Lokomotiv Mezdra,2,AMB-history,2008/2009 First League | 2009/2010 First League,
1789,PFC Svetkavitsa,rt6f1dae4f0731fa,Svetkavitsa 1922,1,AMB-history,2011/2012 First League,
1728,PFC Haskovo,rte5a4064acbddf5,FK Haskovo,1,AMB-history,2014/2015 First League,
586,Shenzhen FC,rt2ed7653e2dd15c,Shenzhen,5,AMB-history,2019 Chinese Super League | 2020 Chinese Super League | 2021 Chinese Super League | 2022 Chinese Super League | 2023 Chinese Super League,
1829,NK Karlovac,rta4f58bcf2e07b7,Karlovac,3,AMB-history,2009/2010 HNL | 2010/2011 HNL | 2011/2012 HNL,
1848,Anorthosis Famagusta,rt95eae54852a180,Anorthosis,26,AMB-history,2000/2001 1. Division | 2001/2002 1. Division | 2002/2003 1. Division | 2003/2004 1. Division | 2004/2005 1. Division | 2005/2006 1. Division,
1850,AC Omonia,rt66cd408e3ef924,Omonia Nicosia,26,AMB-history,2000/2001 1. Division | 2001/2002 1. Division | 2002/2003 1. Division | 2003/2004 1. Division | 2004/2005 1. Division | 2005/2006 1. Division,
1908,FK Pardubice,rt2720730ccb5e59,Pardubice,14,AMB-history,2012/2013 FNL | 2013/2014 FNL | 2014/2015 FNL | 2015/2016 FNL | 2016/2017 FNL | 2017/2018 FNL,
2116,Sheffield Wednesday,rta2ec360bd8ed7a,Sheffield Wednesday,90,AMB-history,2005/2006 Championship | 2006/2007 Championship | 2007/2008 Championship | 2008/2009 Championship | 2009/2010 Championship | 2012/2013 Championship,
2563,Rushden & Diamonds,rte9c61f6b27f847,Rushden & Diamonds,10,AMB-history,2006/2007 FA Cup | 2007/2008 FA Cup | 2008/2009 FA Cup | 2009/2010 FA Cup | 2010/2011 National League | 2004/2005 EFL Trophy,
2186,FC Halifax Town,rt8e1af5f5dba478,Halifax Town,10,AMB-history,2015/2016 National League | 2017/2018 National League | 2018/2019 National League | 2019/2020 National League | 2020/2021 National League | 2021/2022 National League,
2824,FC Jokerit,rtd5111927655b76,Jokerit,4,AMB-history,1999 Veikkausliiga | 2000 Veikkausliiga | 2001 Veikkausliiga | 2003 Veikkausliiga,
2902,SC Bastia,rtd388903ba7a357,Bastia,30,AMB-history,2010/2011 National 1 | 2020/2021 National 1 | 1994/1995 Ligue 1 | 1995/1996 Ligue 1 | 1996/1997 Ligue 1 | 1997/1998 Ligue 1,
3105,Marignane Gignac,rt3ae552ddd038e9,Marignane Gignac,1,AMB-history,2018/2019 National 1,
3279,FC Merani Tbilisi,,,2,CONFLICT,rt2ea57ab12c24ad=FC Merani Tbilisi: 2007/2008 Erovnuli Liga || rt0611ce70c2cac9=Merani Tbilisi: 2020 Erovnuli Liga,
3862,Aris Thessaloniki,rt8e31f9bb3d43f4,Aris,28,AMB-history,1994/1995 Super League 1 | 1995/1996 Super League 1 | 1996/1997 Super League 1 | 1998/1999 Super League 1 | 1999/2000 Super League 1 | 2000/2001 Super League 1,
3873,AEL 1964,rtf5b903d9bf2d90,Larissa,22,AMB-history,1994/1995 Super League 1 | 1995/1996 Super League 1 | 2005/2006 Super League 1 | 2011/2012 Cup | 2012/2013 Cup | 2014/2015 Cup,
4087,Budafoki MTE,rt991e84376f2af2,Budafoki MTE,1,AMB-history,2020/2021 NB I,
673,Bengaluru FC,rt14c509a6e98e23,Bengaluru,9,AMB-history,2017/2018 Indian Super League | 2018/2019 Indian Super League | 2019/2020 Indian Super League | 2020/2021 Indian Super League | 2021/2022 Indian Super League | 2022/2023 Indian Super League,
674,Odisha FC,rtc56960df53b1ca,Odisha,7,AMB-history,2019/2020 Indian Super League | 2020/2021 Indian Super League | 2021/2022 Indian Super League | 2022/2023 Indian Super League | 2023/2024 Indian Super League | 2024/2025 Indian Super League,
677,Punjab FC,rt4f0df083b525af,Punjab,3,AMB-history,2023/2024 Indian Super League | 2024/2025 Indian Super League | 2025/2026 Indian Super League,
4143,Bohemians FC,rtd46b159ac68f8f,Bohemians,30,AMB-history,1996/1997 Premier Division | 1997/1998 Premier Division | 1998/1999 Premier Division | 1999/2000 Premier Division | 2000/2001 Premier Division | 2001/2002 Premier Division,
4306,Padova,rt925742e4f26828,Padova,27,AMB-current,2015/2016 Serie C | 2016/2017 Coppa Italia Serie C | 2008/2009 Serie C | 1994/1995 Serie A | 1995/1996 Serie A | 1997/1998 Serie B,rta9842637bd1c92=Padova (last 2014)
4341,Potenza SC,rt092da66f91bc32,Potenza,11,AMB-history,2008/2009 Serie C | 2009/2010 Serie C | 2018/2019 Serie C | 2019/2020 Coppa Italia Serie C | 2020/2021 Serie C | 2021/2022 Serie C,
4281,AS Roma,rt31e54dda6aaf86,Roma,34,AMB-history,1992/1993 Serie A | 1993/1994 Serie A | 1994/1995 Serie A | 1995/1996 Serie A | 1996/1997 Serie A | 1997/1998 Serie A,
4370,Juventus U23,rtcc71056e4ad49f,Juventus Next Gen,8,AMB-history,2018/2019 Serie C | 2019/2020 Coppa Italia Serie C | 2020/2021 Serie C | 2021/2022 Serie C | 2022/2023 Serie C | 2023/2024 Serie C,
803,Omiya Ardija,rt7e217ddf0732e3,Omiya Ardija,11,AMB-history,2006 J-League Cup | 2007 J-League Cup | 2008 J-League Cup | 2009 J1 League | 2010 J1 League | 2011 J-League Cup,
807,Yokohama FC,rta1a6239eba51bb,Yokohama,5,AMB-history,2007 J-League Cup | 2020 J1 League | 2021 J1 League | 2023 J1 League | 2025 J1 League,
4717,FC Almaty,rt0f99eba46fd021,FC Alma Ata,5,AMB-history,2008 Premier League | 2004 Premier League | 2005 Premier League | 2006 Premier League | 2007 Premier League,
4751,KF Dukagjini,rt70d4a25bbb2b02,Dukagjini,2,AMB-history,2021/2022 Cup | 2025/2026 Superliga,
4748,KF Llapi,rt9ace0ea1c07f25,Llapi,2,AMB-history,2021/2022 Cup | 2025/2026 Superliga,
4790,FK Riga,rt8c42f7c6c0afec,Rīga,5,AMB-history,2004 Virsliga | 2005 Virsliga | 2006 Virsliga | 2007 Virsliga | 2008 Virsliga,
4774,Riga FC,rt0ef130ed12a7bb,Riga,11,AMB-history,2016 Virsliga | 2017 Virsliga | 2018 Virsliga Cup | 2019 Virsliga | 2020 Virsliga | 2021 Virsliga,
4784,FK Metta,rt5e8ddf83ee6b83,Metta,7,AMB-history,2019 Virsliga | 2020 Virsliga | 2021 Virsliga | 2022 Virsliga | 2023 Virsliga | 2024 Virsliga,
5125,FC Groningen,rtdedec9f7717870,Groningen,39,AMB-history,1974/1975 Eerste Divisie | 1975/1976 Eerste Divisie | 1976/1977 Eerste Divisie | 1977/1978 Eerste Divisie | 1978/1979 Eerste Divisie | 1979/1980 Eerste Divisie,
5148,FC Emmen,rta1567754c924ce,Emmen,41,AMB-history,1985/1986 Eerste Divisie | 1986/1987 Eerste Divisie | 1987/1988 Eerste Divisie | 1988/1989 Eerste Divisie | 1989/1990 Eerste Divisie | 1990/1991 Eerste Divisie,
5416,FK Bashkimi,rt2a9109f102ea89,Bashkimi Kumanovo,1,AMB-history,2025/2026 First League,
5463,Portadown FC,rta671d883c46220,Portadown,19,AMB-history,1998/1999 Premiership | 1999/2000 Premiership | 2000/2001 Premiership | 2001/2002 Premiership | 2006/2007 Premiership | 2007/2008 Premiership,
5474,Newry City FC,rt8ebd7b9e77400d,Newry City,3,AMB-current,2018/2019 Premiership | 2022/2023 Premiership | 2023/2024 Premiership,rte4a3ec273add30=Newry City FC (last 2011)
5467,Larne FC,rta2008fc967faa4,Larne,9,AMB-history,2006/2007 Premiership | 2007/2008 Premiership | 2019/2020 Premiership | 2020/2021 Premiership | 2021/2022 Premiership | 2022/2023 Premiership,
5534,Sogndal IL,rt097fbf6cbf022e,Sogndal,13,AMB-history,1994 Eliteserien | 1997 Eliteserien | 1998 Eliteserien | 2001 Eliteserien | 2002 Eliteserien | 2003 Eliteserien,
5533,Kongsvinger IL,rt6e34dc3a71690a,Kongsvinger,7,AMB-history,1994 Eliteserien | 1995 Eliteserien | 1996 Eliteserien | 1997 Eliteserien | 1998 Eliteserien | 1999 Eliteserien,
5860,FC Felgueiras,rt229a03098e4790,Felgueiras 1932,9,AMB-current,2021/2022 Liga 3 | 2022/2023 Liga 3 | 2023/2024 Liga 3 | 2024/2025 Segunda Liga | 2025/2026 Segunda Liga | 1995/1996 Primeira Liga,rt96fe723218702c=Felgueiras (last 2005)
5873,UD Oliveirense,rt95d432ac500ff2,Oliveirense,17,AMB-history,2021/2022 Liga 3 | 2022/2023 Segunda Liga | 2023/2024 Segunda Liga | 2024/2025 Segunda Liga | 2025/2026 Segunda Liga | 2008/2009 Segunda Liga,
5906,Belenenses SAD,rtf4038c3c175485,Belenenses,5,AMB-history,2022/2023 Segunda Liga | 2018/2019 Primeira Liga | 2019/2020 Primeira Liga | 2020/2021 Primeira Liga | 2021/2022 Primeira Liga,
5895,Oriental,rt93a7c133b8c982,Oriental Lisboa,2,AMB-history,2014/2015 Segunda Liga | 2015/2016 Segunda Liga,
6102,FC Arges,rtea5a1cc0b6b87c,Argeș,9,AMB-current,2020/2021 Liga I | 2021/2022 Liga I | 2022/2023 Liga I | 2025/2026 Liga I | 2017/2018 Cupa României | 2018/2019 Cupa României,rtf68fd1b97ed247=FC Argeş Piteşti (last 2014)
6158,FC Vaslui,rtab693c61fe0b45,Vaslui,9,AMB-history,2005/2006 Liga I | 2006/2007 Liga I | 2007/2008 Liga I | 2008/2009 Liga I | 2009/2010 Liga I | 2010/2011 Liga I,
6099,Universitatea Cluj,rt49dd1cfdeda0f2,Universitatea Cluj,8,AMB-current,2022/2023 Liga I | 2023/2024 Liga I | 2024/2025 Liga I | 2025/2026 Liga I | 2018/2019 Cupa României | 2019/2020 Cupa României,rte78cf1c72f6857=Universitatea Cluj (last 2017)
6117,Olimpia Satu Mare,rtf7c6bd7ec18bd4,CSM Olimpia Satu Mare,1,AMB-current,2025/2026 Liga II,rte6b4dea43766f5=Olimpia Satu Mare (last 2021)
6164,FC Baia Mare,rtd20ef53ef43bf2,Minaur Baia Mare,2,AMB-history,2022/2023 Liga II | 2015/2016 Cupa României,
6369,FC Kuban Krasnodar,rt94121b0ee40e26,Kuban Krasnodar,13,AMB-history,2005 First League | 2006 First League | 2008 First League | 2010 First League | 2016/2017 First League | 2017/2018 First League,
6340,FC Krasnodar,rt16d45522a455cc,Krasnodar,17,AMB-history,2009 First League | 2010 First League | 2011/2012 Premier League | 2012/2013 Cup | 2013/2014 Premier League | 2014/2015 Premier League,
6353,PFC Sochi,rt4c3ce2a6ea20be,Sochi,8,AMB-history,2018/2019 First League | 2024/2025 First League | 2019/2020 Premier League | 2020/2021 Premier League | 2021/2022 Premier League | 2022/2023 Premier League,
6444,PFC Kuban Krasnodar,rt0131129dd59df0,Kuban Krasnodar,3,AMB-history,2021/2022 First League | 2022/2023 First League | 2023/2024 First League,
6378,FC Moscow,rtfbb3bc0879ac15,CSKA Moskva,6,AMB-current,2004 Premier League | 2005 Premier League | 2006 Premier League | 2007 Premier League | 2008 Premier League | 2009 Premier League,rte4a19d4c508edf=Moskva (last 2010)
6716,FK Smederevo,rt42cf2d98fc351d,Smederevo 1924,6,AMB-current,2006/2007 Super Liga | 2007/2008 Super Liga | 2009/2010 Super Liga | 2010/2011 Super Liga | 2011/2012 Super Liga | 2012/2013 Super Liga,rte7212a57f70e7a=Smederevo (last 2014)
6784,MFK Košice,rtbbceda38001b4f,Košice,9,AMB-history,2006/2007 1. liga | 2007/2008 1. liga | 2008/2009 1. liga | 2009/2010 1. liga | 2010/2011 1. liga | 2011/2012 1. liga,
6835,NK Rudar Velenje,rt1077e8da217a50,Rudar Velenje,17,AMB-history,1999/2000 1. SNL | 2000/2001 1. SNL | 2001/2002 1. SNL | 2002/2003 1. SNL | 2005/2006 1. SNL | 2008/2009 1. SNL,
6836,NK Primorje,rt42ed25da2fa45c,Primorje,2,AMB-current,2024/2025 1. SNL | 2025/2026 1. SNL,rt71ac6b89f303d6=Primorje (last 2011)
6830,NK Radomlje,rt658c5bd2576205,Radomlje,7,AMB-history,2014/2015 1. SNL | 2016/2017 1. SNL | 2021/2022 1. SNL | 2022/2023 1. SNL | 2023/2024 1. SNL | 2024/2025 1. SNL,
6882,Sevilla FC,rt54e7121959ab4c,Sevilla,33,AMB-history,1993/1994 Primera División | 1994/1995 Primera División | 1995/1996 Primera División | 1996/1997 Primera División | 1999/2000 Primera División | 2001/2002 Primera División,
6967,Xerez CD,rt0d2ee73d4c4047,Xerez,13,AMB-history,2009/2010 Primera División | 1997/1998 Segunda División | 2001/2002 Segunda División | 2002/2003 Segunda División | 2003/2004 Segunda División | 2004/2005 Segunda División,
7017,SD Tarazona,rt5fc26c1df044f9,Tarazona,3,AMB-history,2023/2024 Primera Federación | 2024/2025 Primera Federación | 2025/2026 Primera Federación,
7136,CD Ourense,rtb67501f83eba2a,Ourense,3,AMB-history,1996/1997 Segunda División | 1997/1998 Segunda División | 1998/1999 Segunda División,
7181,Lorca FC,rtefc65b078a21aa,Lorca,1,AMB-history,2017/2018 Segunda División,
