sheet_row,team,city,metro_area,country,level,tier,n_candidates,suggested_if_only_one_has_keys,candidates
586,Shenzhen FC,Shenzen,Guangzhou,China,,T2a,2,,rt2ed7653e2dd15c:Shenzhen:China:rt2ed7653e2dd15c | rtee656da2144736:Shenzhen 2028:China:rtee656da2144736
673,Bengaluru FC,Bangalore,Bangalore,India,1,T2a,2,,rt14c509a6e98e23:Bengaluru:India:rt14c509a6e98e23 | rt4e93856374fff2:SC Bengaluru:India:rt4e93856374fff2
674,Odisha FC,Bhubaneswar,Bhubaneswar,India,1,T2a,2,,rtadfc739b9aa4b0:Odisha:India:rtadfc739b9aa4b0 | rtc56960df53b1ca:Odisha:India:rtc56960df53b1ca
677,Punjab FC,Mohali,Chandigarh,India,1,T2a,2,,rt2fec76ed49b82f:Punjab:India:rt2fec76ed49b82f | rt4f0df083b525af:Punjab:India:rt4f0df083b525af
678,SC Delhi,Delhi,Delhi,India,1,T2a,2,,rt43e97b4b540a18:Delhi FC:India:rt43e97b4b540a18 | rtaef71f50a1525f:Delhi:India:rtaef71f50a1525f
803,Omiya Ardija,Tokyo,Tokyo,Japan,2,T1,2,,rt174a23ecb30dcd:RB Omiya Ardija:Japan:rt174a23ecb30dcd | rt7e217ddf0732e3:Omiya Ardija:Japan:rt7e217ddf0732e3
807,Yokohama FC,Yokohama,Tokyo,Japan,2,T2a,2,,rt28cbebf2baf0d3:Yokohama:Japan:rt28cbebf2baf0d3 | rta1a6239eba51bb:Yokohama:Japan:rta1a6239eba51bb
821,Fukushima United,Fukushima,Fukushima,Japan,3,T1,2,,rt1383d224225a46:Fukushima United:Japan:rt1383d224225a46 | rt19881d17e6ba99:Fukushima Utd.:Japan:rt19881d17e6ba99
884,Yadanarbon,Mandalay,Mandalay,Myanmar,1,T1,2,,rt03826f81c20346:Yangon United:Myanmar:rt03826f81c20346 | rt0b6c7ec6a5e2fd:Yadanarbon:Myanmar:rt0b6c7ec6a5e2fd
1062,Hanoi FC,Hanoi,Hanoi,Vietnam,1,T2a,3,,rt13964a28d7962f:Hà Nội:Vietnam:rt13964a28d7962f | rt16dc6526fa9f89:Hà Nội:Vietnam:rt16dc6526fa9f89 | rt9cf546396bb4ab:Hà Nội:Vietnam:rt9cf546396bb4ab
1067,Ninh Binh FC,Ninh Binh,Ninh Binh,Vietnam,1,T2a,2,,rt32dc3979f37177:Ninh Binh:Vietnam:rt32dc3979f37177 | rt79b181af20cd0b:Ninh Bình:Vietnam:rt79b181af20cd0b
1250,Wiener AC,Vienna,Vienna,Austria,,T2a,2,,rt7a17ab38a1af21:Wiener SK:Austria:rt7a17ab38a1af21 | rtf4dce4518d422d:Wiener Sport-Club:Austria:rtf4dce4518d422d
1268,Kremser SC,Krems,Krems,Austria,,T1-alias,2,,rt50f7d42de2df3c:Krems:Austria:rt50f7d42de2df3c | rt85effce47ff3ac:Krems / Rehberg:Austria:rt85effce47ff3ac
1492,Eendracht Aalst,Aalst,Aalst,Belgium,,T1,2,,rt46d9f2afc40dd2:Eendracht Aalst:Belgium:rt46d9f2afc40dd2 | rtcbdc3ebe7050e6:Eendracht Aalst:Belgium:rtcbdc3ebe7050e6
1544,KSK Heist,Antwerp,Antwerp,Belgium,,T1,2,,rt1e29f28f520288:Heist:Belgium:rt1e29f28f520288 | rt5c2adb1689571e:KSK Heist:Belgium:rt5c2adb1689571e
1586,KRC Harelbeke,Kortrijk,Kortrijk,Belgium,,T1-alias,2,,rt1843f4e9964ce8:Harelbeke:Belgium:rt1843f4e9964ce8 | rta113fca12daa33:Zuid-West-Vlaanderen:Belgium:rta113fca12daa33
1706,Dunav Rousse,Ruse,Ruse,Bulgaria,1,T1,2,,rt5fb1b707a46d81:Dunav Ruse:Bulgaria:rt5fb1b707a46d81 | rtb770b2d4f1246f:Dunav Ruse:Bulgaria:rtb770b2d4f1246f
1715,PFC Minyor Pernik,Pernik,Pernik,Bulgaria,,T1,2,,rt723b7a5f3d6087:Minyor Pernik:Bulgaria:rt723b7a5f3d6087 | rtb89b207e0185ec:Minyor Pernik:Bulgaria:rtb89b207e0185ec
1721,PFK Dobrudzha,Dobrich,Dobrich,Bulgaria,,T2a,2,,rt59dcd8e291a162:Dobrudzha:Bulgaria:rt59dcd8e291a162 | rte8b13035ef4631:Dobrudzha 1919:Bulgaria:rte8b13035ef4631
1728,PFC Haskovo,Haskovo,Haskovo,Bulgaria,,T2a,2,,rt3d47b12f2a493c:OFK Haskovo:Bulgaria:rt3d47b12f2a493c | rte5a4064acbddf5:FK Haskovo:Bulgaria:rte5a4064acbddf5
1740,PFC Vidima-Rakovski,Sevlievo,Sevlievo,Bulgaria,,T1,2,,rt517467dfe098bf:Vidima-Rakovski:Bulgaria:rt517467dfe098bf | rt6b0d198746bb82:Vidima-Rakovski:Bulgaria:rt6b0d198746bb82
1767,PFC Lokomotiv Mezdra,Mezdra,Mezdra,Bulgaria,,T2a,3,,rt3720a76d4ead94:Lokomotiv Mezdra:Bulgaria:rt3720a76d4ead94 | rtce6a23ec7f4c0b:Lokomotiv Mezdra:Bulgaria:rtce6a23ec7f4c0b | rte9772f9dc510ef:Lokomotiv Mezdra:Bulgaria:rte9772f9dc510ef
1789,PFC Svetkavitsa,Targovishte,Targovishte,Bulgaria,,T2a,2,,rt6f1dae4f0731fa:Svetkavitsa 1922:Bulgaria:rt6f1dae4f0731fa | rtb3b010dc5a41fd:Svetkavitsa 2014:Bulgaria:rtb3b010dc5a41fd
1822,NK Istra,Pula,Pula,Croatia,,T2a,2,,rtca018bb83c713b:Istra:Croatia:rtca018bb83c713b | rtcc9547bea1a671:Istra 1961:Croatia:rtcc9547bea1a671
