sheet_row,team,city,metro_area,country,level
17,WA Mostaganem,Mostaganem,Mostaganem,Algeria,1
22,AS Aviacao,Luanda,Luanda,Angola,
24,CR Caála,Huambo,Huambo,Angola,
31,Buffles du Borgou,Parakou,Parakou,Benin,
32,Donjo,Cotonou,Cotonou,Benin,
33,Mogas '90,Cotonou,Cotonou,Benin,
34,Tonnerre FC,Abomey,Abomey,Benin,
40,Commune FC,Ouagadougou,Ouagadougou,Burkina Faso,
44,AS Inter Star,Bujumbura,Bujumbura,Burundi,
46,Flambeau de l’Est,Ruyigi,Ruyigi,Burundi,
49,Aigle Royal Menoua,Dschang,Dschang,Cameroon,1
50,Aigle Royal Mungo,Nkongsamba,Nkongsamba,Cameroon,1
51,AS Fortuna,Mfou,Yaoundé,Cameroon,1
54,Coton Sport,Garoua,Garoua,Cameroon,1
56,Fauve Azur Elite,Yaoundé,Yaoundé,Cameroon,1
57,Gazelle FA,Garoua,Garoua,Cameroon,1
61,Unisport Bafang,Bafang,Bafang,Cameroon,1
62,Victoria Utd Limbé,Douala,Douala,Cameroon,1
63,Astres FC,Douala,Douala,Cameroon,
65,Oryx Douala,Douala,Douala,Cameroon,
66,Racing Bafoussam,Bafoussam,Bafoussam,Cameroon,
67,Tiko United,Tiko,Douala,Cameroon,
69,Sporting Clube da Praia,Praia,Praia,Cape Verde,
70,Anges de Fatima,Fatima,Fatima,Central African Republic,
72,DFC 8ème Arrondissement,Bangui,Bangui,Central African Republic,
73,Olympic Real de Bangui,Bangui,Bangui,Central African Republic,
74,Stade Centrafricain,Bangui,Bangui,Central African Republic,
76,Elect Sport N'Djamena,N'Djamena,N'Djamena,Chad,
81,AGSM,Moroni,Moroni,Comoros,
82,Apaches Club de Mitsamiouli,Mitsamiouli,Mitsamiouli,Comoros,
83,AS Komorozine,Domoni,Domoni,Comoros,
84,Coin Nord,Mitsamiouli,Mitsamiouli,Comoros,
85,Djabal Club,Iconi,Iconi,Comoros,
86,Elan Club,Mitsoudjé,Mitsoudjé,Comoros,
87,Etoile d'Or,Mirontsy,Mirontsy,Comoros,
88,Fomboni FC,Fomboni,Fomboni,Comoros,
89,Volcan Club,Moroni,Moroni,Comoros,
91,AS Police Brazzaville,Brazzaville,Brazzaville,Congo,
95,Saint Michel d'Ouenzé,Brazzaville,Brazzaville,Congo,
96,AC Kuya Sport,Kinshasa,Kinshasa,Congo DR,1
98,AF Anges Verts,Kinshasa,Kinshasa,Congo DR,1
100,AS Malole,Kananga,Kananga,Congo DR,1
101,AS Maniema,Kindu,Kindu,Congo DR,1
102,AS Simba Kamikaze,Kolwezi,Kolwezi,Congo DR,1
104,Blessing FC,Kolwezi,Kolwezi,Congo DR,1
105,Céleste FC,Mbandaka,Mbandaka,Congo DR,1
107,DC Motema Pembe,Kinshasa,Kinshasa,Congo DR,1
108,FC Étoile du Kivu,Bukavu,Bukavu,Congo DR,1
111,FC Tanganyika,Kalémie,Kalémie,Congo DR,1
112,JSG Bazano,Lubumbashi,Lubumbashi,Congo DR,1
114,New Jak FC,Kinshasa,Kinshasa,Congo DR,1
119,US Panda B52,Likasi,Likasi,Congo DR,1
124,AFAD Djékanou,Abidjan,Abidjan,Côte d'Ivoire,
125,Africa Sports,Abidjan,Abidjan,Côte d'Ivoire,
126,AS Tanda,Tanda,Tanda,Côte d'Ivoire,
128,JC Abidjan,Abidjan,Abidjan,Côte d'Ivoire,
129,Sewe Sport,San Pédro,San Pédro,Côte d'Ivoire,
157,Eastern Company SC,Cairo,Cairo,Egypt,
162,Alassiouty Sport,Asyut,Asyut,Egypt,
163,Ala'ab Damanhur,Damanhur,Damanhur,Egypt,
164,Telefonat Beni Suef,Beni Suef,Beni Suef,Egypt,
167,Ittesalat,Cairo,Cairo,Egypt,
168,Ittihad Al-Shorta,Cairo,Cairo,Egypt,
170,Nasr Cairo,Cairo,Cairo,Egypt,
173,El Sharkia SC,Zagazig,Zagazig,Egypt,
177,Tersana Giza,Cairo,Cairo,Egypt,
178,Al Raja,Mersa Matruh,Mersa Matruh,Egypt,
179,Al Minya FC,Minya,Minya,Egypt,
182,Akonangui,Bata,Bata,Equatorial Guinea,
183,CD Elá Nguema,Malabo,Malabo,Equatorial Guinea,
185,Elá Nguema,Malabo,Malabo,Equatorial Guinea,
186,Racing de Micomeseng,Micomeseng,Micomeseng,Equatorial Guinea,
187,Renacimiento,Malabo,Malabo,Equatorial Guinea,
188,Sony Elá Nguema,Malabo,Malabo,Equatorial Guinea,
189,Adulis Club,Asmara,Asmara,Eritrea,
190,Red Sea FC,Asmara,Asmara,Eritrea,
191,Green Mamba,Simunye,Simunye,Eswatini,
192,Mhlambanyatsi Rovers,Mhlambanyatsi,Mhlambanyatsi,Eswatini,
193,Royal Leopards,Simunye,Simunye,Eswatini,
194,Young Buffaloes,Matsapha,Matsapha,Eswatini,
195,Adama Kanema,Adama,Adama,Ethiopia,1
196,Arbaminch Kanema,Arba Minch,Arba Minch,Ethiopia,1
197,Bahir Dar City,Bahir Dar,Bahir Dar,Ethiopia,1
199,Defence Force FC,Addis Ababa,Addis Ababa,Ethiopia,1
200,Dire Dawa Kanema,Dire Dawa,Dire Dawa,Ethiopia,1
201,EEPCO FC,Addis Ababa,Addis Ababa,Ethiopia,1
202,Ethiopian Coffee,Addis Ababa,Addis Ababa,Ethiopia,1
204,Fasil Kenema,Gondar,Gondar,Ethiopia,1
205,Hadiya Hossana,Hossana,Hossana,Ethiopia,1
206,Hawassa City,Awassa,Awassa,Ethiopia,1
207,Mekelle 70 Enderta,Mekelle,Mekelle,Ethiopia,1
208,Saint George FC,Addis Ababa,Addis Ababa,Ethiopia,1
209,Shire Endaselassie,Mekelle,Mekelle,Ethiopia,1
210,Sidama Coffee,Awassa,Awassa,Ethiopia,1
211,Welwalo Adigrat University,Adigrat,Adigrat,Ethiopia,1
212,Wolaitta Dicha,Wolaita Sodo,Wolaita Sodo,Ethiopia,1
213,Awassa City,Awassa,Awassa,Ethiopia,
214,Dedebit FC,Addis Ababa,Addis Ababa,Ethiopia,
217,FC 105 Libreville,Libreville,Libreville,Gabon,
222,Gambia Armed Forces,Banjul,Banjul,Gambia,
232,Kumasi Asante Kotoko,Kumasi,Kumasi,Ghana,
236,Hafia Conakry,Conakry,Conakry,Guinea,
239,FC OS Balantas,Bissau,Bissau,Guinea-Bissau,
240,Sporting Clube de Bissau,Bissau,Bissau,Guinea-Bissau,
253,Barrack Young Controllers,Monrovia,Monrovia,Liberia,
257,Monrovia Black Star,Monrovia,Monrovia,Liberia,
258,Nimba United,Sanniquellie,Sanniquellie,Liberia,
259,Al Ahly Tripoli,Tripoli,Tripoli,Libya,
260,Al Ittihad Tripoli,Tripoli,Tripoli,Libya,
262,Al-Olympique,Az Zawiyah,Az Zawiyah,Libya,
263,Academie Ny Antsika,Vakinankaratra,Vakinankaratra,Madagascar,
265,AS Adema,Antananarivo,Antananarivo,Madagascar,
266,CNaPS Sport,Miarinarivo,Miarinarivo,Madagascar,
267,Japan Actuel's,Analamanga,Analamanga,Madagascar,
268,USCA Foot,Antananarivo,Antananarivo,Madagascar,
269,USJF Ravinala,Ravinala,Ravinala,Madagascar,
276,ASC Ksar,Nouakchott,Nouakchott,Mauritania,
277,ASC Mauritel,Nouakchott,Nouakchott,Mauritania,
278,ASC SNIM,Nouadhibou,Nouadhibou,Mauritania,
279,CF Cansado,Nouadhibou,Nouadhibou,Mauritania,
283,Curepipe Starlight,Curepipe,Curepipe,Mauritius,
284,Pamplemousse SC,Belle Vue,Belle Vue,Mauritius,
286,Difaâ El Jadidi,El Jadida,El Jadida,Morocco,1
291,KAC Marrakech,Marrakesh,Marrakesh,Morocco,1
299,US Yaacub Mansour,Rabat,Rabat,Morocco,1
307,Nahdat Berkane,Berkane,Berkane,Morocco,
308,OC Khouribga,Khouribga,Khouribga,Morocco,
312,Grupo Desportivo Maputo,Maputo,Maputo,Mozambique,
313,Liga Muçulmana,Maputo,Maputo,Mozambique,
315,Black Africa,Windhoek,Windhoek,Namibia,
316,Blue Waters,Walvis Bay,Walvis Bay,Namibia,
317,Civics,Windhoek,Windhoek,Namibia,
318,AS Douanes Niamey,Niamey,Niamey,Niger,
319,AS Police,Niamey,Niamey,Niger,
320,ASFAN,Niamey,Niamey,Niger,
321,AS-FNIS,Niamey,Niamey,Niger,
323,Olympic Niamey,Niamey,Niamey,Niger,
324,Sahel SC,Niamey,Niamey,Niger,
347,Dolphin FC,Port Harcourt,Port Harcourt,Nigeria,
354,Ocean Boys,Brass,Brass,Nigeria,
359,ATRACO,Kigali,Kigali,Rwanda,
361,Sporting Praia Cruz,São Tomé,São Tomé,São Tomé and Príncipe,
364,ASC Diaraf,Dakar,Dakar,Senegal,
365,ASC Linguère,Saint-Louis,Saint-Louis,Senegal,
366,ASC Port Autonome,Port Autonome,Port Autonome,Senegal,
367,ASC Saloum,Kaolack,Kaolack,Senegal,
371,Anse Réunion,La Digue,La Digue,Seychelles,
373,La Passe,La Digue,La Digue,Seychelles,
374,Saint-Michel United,Victoria (SEY),Victoria (SEY),Seychelles,
402,Bay United,Port Elizabeth,Port Elizabeth,South Africa,
408,Pretoria University,Johannesburg,Johannesburg,South Africa,
409,Benoni Premier United,Richards Bay,Richards Bay,South Africa,
414,Mpumalanga Black Aces,Witbank,Witbank,South Africa,
416,Silver Stars,Rustenburg,Rustenburg,South Africa,
419,CR Vasco da Gama,Cape Town,Cape Town,South Africa,
421,Al-Ghazal,Wau,Wau,South Sudan,
422,Al-Malakia,Juba,Juba,South Sudan,
424,Ahli Wad Madani,Wad Medani,Wad Medani,Sudan,1
426,Al Ahli Merowe,Merowe,Merowe,Sudan,1
427,Al Mirghani ESC,Kassala,Kassala,Sudan,1
428,Al Rabita Kosti,Kosti,Kosti,Sudan,1
431,Al-Falah SC,Atbara,Atbara,Sudan,1
432,Al-Hilal El Manaqil,El Manaqil,El Manaqil,Sudan,1
433,Al-Hilal ESC Al-Fasher,Al-Fasher,Al-Fasher,Sudan,1
436,Al-Merrikh Abyad,Al-Ubayyid,Al Ubayyid,Sudan,1
439,Al-Zamala Umrawaba,Umm Ruwaba,Umm Ruwaba,Sudan,1
440,Al-Zoma SC,Khartoum,Khartoum,Sudan,1
441,Haidoub SC,En Nahud,En Nahud,Sudan,1
444,Hilal Alsahil SC,Port Sudan,Port Sudan,Sudan,1
445,Kober SC,Bahri,Khartoum,Sudan,1
446,Om Maghad SC,Al Kamlin,Al Kamlin,Sudan,1
447,Tuti SC,Khartoum,Khartoum,Sudan,1
448,Wad Nubawi SC,Omdurman,Khartoum,Sudan,1
454,Coastal Union,Tanga,Tanga,Tanzania,1
455,Dodoma Jiji FC,Dodoma City,Dodoma City,Tanzania,1
456,Fountain Gate FC,Babati,Babati,Tanzania,1
457,JKT Tanzania,Dar es Salaam,Dar es Salaam,Tanzania,1
460,KCB Nairobi,Nairobi,Nairobi,Kenya,1
464,Mashujaa FC,Kigoma,Kigoma,Tanzania,1
465,Mbeya City,Mbeya,Mbeya,Tanzania,1
466,Mtibwa Sugar,,,Tanzania,1
469,Namungo FC,Lindi,Lindi,Tanzania,1
470,Pamba Jiji FC,Mwanza,Mwanza,Tanzania,1
475,Tabora United FC,Tabora,Tabora,Tanzania,1
477,Tanzania Prisons FC,Mbeya,Mbeya,Tanzania,1
481,AS Douanes Lomé,Lomé,Lomé,Togo,
484,Etoile Filante de Lomé,Lomé,Lomé,Togo,
496,JS Kairouanaise,Kairouan,Kairouan,Tunisia,1
502,Kampala City Council,Kampala,Kampala,Uganda,
512,Jamhuri,Zanzibar City,Zanzibar City,Zanzibar,
514,Mafunzo FC,Zanzibar City,Zanzibar City,Zanzibar,
515,Miembeni SC,Zanzibar City,Zanzibar City,Zanzibar,
516,Polisi SC,Zanzibar City,Zanzibar City,Zanzibar,
517,Zanzibar Ocean View,Zanzibar City,Zanzibar City,Zanzibar,
518,CAPS United,Harare,Harare,Zimbabwe,
519,Chicken Inn,Bulawayo,Bulawayo,Zimbabwe,
520,Dynamos FC,Harare,Harare,Zimbabwe,
521,FC Platinum,Zvishavane,Zvishavane,Zimbabwe,
522,Gunners FC,Harare,Harare,Zimbabwe,
523,Highlanders,Bulawayo,Bulawayo,Zimbabwe,
524,Monomotapa United,Harare,Harare,Zimbabwe,
525,Motor Action,Harare,Harare,Zimbabwe,
532,Wellington Phoenix,Wellington,Wellington,Australia,1
537,Auckland FC,Auckland,Auckland,Australia,1
540,New Zealand Knights,Auckland,Auckland,Australia,
542,North Queensland Fury,Townsville,Townsville,Australia,
543,Queensland Roar,Brisbane,Brisbane,Australia,
545,Melbourne Heart,Melbourne,Melbourne,Australia,
583,Guangzhou Evergrande,Guangzhou,Guangzhou,China,
593,Beijing Sport Univ,Beijing,Beijing,China,
594,Xiamen Blue Lions,Xiamen,Xiamen,China,
596,Guangzhou GPC,Guangzhou,Guangzhou,China,
598,Shenzhen Asia Travel FC,Shenzen,Guangzhou,China,
599,Shenzhen Kingway,Shenzen,Guangzhou,China,
600,Shenzhen Ruby,Shenzen,Guangzhou,China,
601,Shenzhen Shangqingyin,Shenzen,Guangzhou,China,
602,Shenzhen Xiangxue Eisiti,Shenzen,Guangzhou,China,
607,Shijiazhuang Yongchang,Shijiazhuang,Shijiazhuang,China,
610,Henan Construction,Zhengzhou,Zhengzhou,China,
614,Changsha Ginde,Changsha,Changsha,China,
615,Jiangsu Sainty,Nanjing,Nanjing,China,
619,Nanchang Hengyuan,Nanchang,Nanchang,China,
623,Dalian Wanda,Dalian,Dalian,China,
624,Dalian Yifang,Dalian,Dalian,China,
626,Liaoning Shenyang,Panjin,Panjin,China,
627,Shenyang Ginde,Shenyang,Shenyang,China,
629,Qingdao Huanghai,Qingdao,Qingdao,China,
630,Qingdao Jonoon,Qingdao,Qingdao,China,
632,Qingdao Youth Island,Qingdao,Qingdao,China,
633,Qingdao Zhongneng,Qingdao,Qingdao,China,
634,Shandong Luneng,Jinan,Jinan,China,
635,Shanghai East Asia,Shanghai,Shanghai,China,
636,Shanghai Jiading Huilon,Shanghai,Shanghai,China,
638,Shanghai SIPG,Shanghai,Shanghai,China,
640,Inter Xian Chanba,Xi'an,Xi'an,China,
641,Shaanxi Baorong,Xi'an,Xi'an,China,
