source,key,name,country,type,tier,reep_id,reep_name,key_wikidata,key_fbref,key_transfermarkt,key_opta,candidates
football_competitions,england|fa-cup,FA Cup,England,cup_major,T1,rlcf824ce429e5ef,FA Cup,rlcf824ce429e5ef,,,,
football_competitions,scotland|scottish-cup,Scottish Cup,Scotland,cup_major,T1,rl0e60f379d36146,Scottish Cup,rl0e60f379d36146,,,,
football_competitions,england|football-league,Football League,England,league,NONE,,,,,,,
football_competitions,england|first-division,First Division,England,league,AMB,,,,,,,First Division (1992–2004):rla22742a365acfe | First Division (1888–1992):rlfb6b23cbacdaa1
football_competitions,netherlands|knvb-beker,KNVB Beker,Netherlands,cup_major,T1,rle1b0baa140dc0b,KNVB Beker,rle1b0baa140dc0b,,,,
football_competitions,spain|copa-del-rey,Copa del Rey,Spain,cup_major,T1,rlde5ef789c4c6b6,Copa del Rey,rlde5ef789c4c6b6,,,,
football_competitions,england|fa-charity-shield,FA Charity Shield,England,super,NONE,,,,,,,
football_competitions,france|coupe-de-france,Coupe de France,France,cup_major,T1,rlb66f7df5dc4556,Coupe de France,rlb66f7df5dc4556,,,,
football_competitions,portugal|campeonato-de-portugal,Campeonato de Portugal,Portugal,cup_major,T1,rl81cc2797069b17,Campeonato de Portugal Prio,rl81cc2797069b17,,,,
football_competitions,italy|coppa-italia,Coppa Italia,Italy,cup_major,T1,rla0c99957b8015c,Coppa Italia,rla0c99957b8015c,,,,
football_competitions,eur|mitropa-cup,Mitropa Cup,,european,NONE,,,,,,,
football_competitions,germany|tschammer-pokal,Tschammer-Pokal,Germany,cup_major,NONE,,,,,,,
football_competitions,soviet-union|soviet-cup,Soviet Cup,Soviet Union,cup_major,NONE,,,,,,,
football_competitions,portugal|taca-de-portugal,Taça de Portugal,Portugal,cup_major,T1,rl39b48ec8b9dc56,Taça de Portugal,rl39b48ec8b9dc56,,,,
football_competitions,eur|latin-cup,Latin Cup,,european,NONE,,,,,,,
football_competitions,germany|dfb-pokal,DFB-Pokal,Germany,cup_major,T1,rl87e257a7fa3799,DFB Pokal,rl87e257a7fa3799,,,,
football_competitions,eur|inter-cities-fairs-cup,Inter-Cities Fairs Cup,,european,NONE,,,,,,,
football_competitions,eur|european-cup,European Cup,,european,T1,rl08490872b1abd6,UEFA Champions League,rl08490872b1abd6,,,,
football_competitions,eur|copa-libertadores,Copa Libertadores,,european,T1,rl88306324a7d64c,CONMEBOL Libertadores,rl88306324a7d64c,,,,
football_competitions,eur|intercontinental-cup,Intercontinental Cup,,european,T1,rl991133c3c13cd8,Intercontinental Cup,rl991133c3c13cd8,,,,
football_competitions,eur|cup-winners-cup,Cup Winners Cup,,european,NONE,,,,,,,
football_competitions,england|league-cup,League Cup,England,cup_minor,T1,rl10d9b2f555a6f4,League Cup,rl10d9b2f555a6f4,,,,
football_competitions,eur|concacaf-champions-cup,CONCACAF Champions Cup,,european,T1,rl1705f4d81b3009,Concacaf Champions Cup,rl1705f4d81b3009,,,,
football_competitions,eur|uefa-cup,UEFA Cup,,european,T1,rl0173c34b3874f2,UEFA Europa League,rl0173c34b3874f2,,,,
football_competitions,eur|uefa-super-cup,UEFA Super Cup,,european,T1,rl96913b1bec8dbf,UEFA Super Cup,rl96913b1bec8dbf,,,,
football_competitions,eur|asian-club-championship,Asian Club Championship,,european,NONE,,,,,,,
