sheet_row,team,country,city,level,decision,decision_label,rule,why,candidates,rules_tried
586,Shenzhen FC,China,Shenzen,,,,,,rt2ed7653e2dd15c=Shenzhen | rtee656da2144736=Shenzhen 2028,"R1 exact: 0; pool (carry the name): []; R2 subset: Shenzhen: missing ['fc']; Shenzhen 2028: missing ['fc']; R3 city ['guangzhou', 'shenzen']: 0"
673,Bengaluru FC,India,Bangalore,1,rt14c509a6e98e23,Bengaluru,R1 exact,label equals 'Bengaluru',rt14c509a6e98e23=Bengaluru | rt4e93856374fff2=SC Bengaluru,R1 exact: 1; pool (carry the name): []
674,Odisha FC,India,Bhubaneswar,1,rtc56960df53b1ca,Odisha,R7 current,Level 1 row; only this candidate played in 2026,rtadfc739b9aa4b0=Odisha | rtc56960df53b1ca=Odisha,"R1 exact: 2; pool (carry the name): ['Odisha', 'Odisha']; R7 current: 1 of 2 name-carrying candidates sat in a 2026+ season"
677,Punjab FC,India,Mohali,1,rt4f0df083b525af,Punjab,R7 current,Level 1 row; only this candidate played in 2026,rt2fec76ed49b82f=Punjab | rt4f0df083b525af=Punjab,"R1 exact: 0; pool (carry the name): ['Punjab', 'Punjab']; R7 current: 1 of 2 name-carrying candidates sat in a 2026+ season"
678,SC Delhi,India,Delhi,1,rt43e97b4b540a18,Delhi FC,R7 current,Level 1 row; only this candidate played in 2026,rt43e97b4b540a18=Delhi FC | rtaef71f50a1525f=Delhi,R1 exact: 0; pool (carry the name): []; R7 current: 1 of 2 name-carrying candidates sat in a 2026+ season
803,Omiya Ardija,Japan,Tokyo,2,rt7e217ddf0732e3,Omiya Ardija,R1 exact,label equals 'Omiya Ardija',rt174a23ecb30dcd=RB Omiya Ardija | rt7e217ddf0732e3=Omiya Ardija,"R1 exact: 1; pool (carry the name): ['RB Omiya Ardija', 'Omiya Ardija']"
807,Yokohama FC,Japan,Yokohama,2,rta1a6239eba51bb,Yokohama,R7 current,Level 2 row; only this candidate played in 2026,rt28cbebf2baf0d3=Yokohama | rta1a6239eba51bb=Yokohama,"R1 exact: 0; pool (carry the name): ['Yokohama', 'Yokohama']; R7 current: 1 of 2 name-carrying candidates sat in a 2026+ season"
821,Fukushima United,Japan,Fukushima,3,rt1383d224225a46,Fukushima United,R1 exact,label equals 'Fukushima United',rt1383d224225a46=Fukushima United | rt19881d17e6ba99=Fukushima Utd.,R1 exact: 1; pool (carry the name): ['Fukushima United']
884,Yadanarbon,Myanmar,Mandalay,1,rt0b6c7ec6a5e2fd,Yadanarbon,R1 exact,label equals 'Yadanarbon',rt03826f81c20346=Yangon United | rt0b6c7ec6a5e2fd=Yadanarbon,R1 exact: 1; pool (carry the name): ['Yadanarbon']
1062,Hanoi FC,Vietnam,Hanoi,1,rt16dc6526fa9f89,Hà Nội,R6b richer duplicate,identical labels; 4 providers against 2 (Reep duplicate record),rt13964a28d7962f=Hà Nội | rt16dc6526fa9f89=Hà Nội | rt9cf546396bb4ab=Hà Nội,"R1 exact: 0; pool (carry the name): ['Hà Nội', 'Hà Nội', 'Hà Nội']; R2 subset: Hà Nội: missing ['hanoi', 'fc']; Hà Nội: missing ['hanoi', 'fc']; Hà Nội: missing ['hanoi', 'fc']; R3 city []: 0; R6 duplicate label: 3 of 3 carry provider keys; R6b richer duplicate: provider counts [4, 2, 2]"
1067,Ninh Binh FC,Vietnam,Ninh Binh,1,rt79b181af20cd0b,Ninh Bình,R7 current,Level 1 row; only this candidate played in 2026,rt32dc3979f37177=Ninh Binh | rt79b181af20cd0b=Ninh Bình,"R1 exact: 0; pool (carry the name): ['Ninh Binh', 'Ninh Bình']; R7 current: 1 of 2 name-carrying candidates sat in a 2026+ season"
1250,Wiener AC,Austria,Vienna,,,,,,rt7a17ab38a1af21=Wiener SK | rtf4dce4518d422d=Wiener Sport-Club,R1 exact: 0; pool (carry the name): []; R2 subset: Wiener SK: missing ['ac']; Wiener Sport-Club: missing ['ac']; R3 city ['vienna']: 0
1268,Kremser SC,Austria,Krems,,,,,,rt50f7d42de2df3c=Krems | rt85effce47ff3ac=Krems / Rehberg,"R1 exact: 0; pool (carry the name): []; R2 subset: Krems: missing ['kremser', 'sc']; Krems / Rehberg: missing ['kremser', 'sc']; R3 city ['krems']: 2"
1492,Eendracht Aalst,Belgium,Aalst,,,,,,rt46d9f2afc40dd2=Eendracht Aalst | rtcbdc3ebe7050e6=Eendracht Aalst,"R1 exact: 2; pool (carry the name): ['Eendracht Aalst', 'Eendracht Aalst']; R2 subset: Eendracht Aalst: extras []; Eendracht Aalst: extras []; R3 city []: 0; R6 duplicate label: 2 of 2 carry provider keys; R8 founded vs tables 1937-2015: founded [], 0 founded before first season; R6b richer duplicate: provider counts [3, 2]"
1544,KSK Heist,Belgium,Antwerp,,rt5c2adb1689571e,KSK Heist,R1 exact,label equals 'KSK Heist',rt1e29f28f520288=Heist | rt5c2adb1689571e=KSK Heist,R1 exact: 1; pool (carry the name): ['KSK Heist']
1586,KRC Harelbeke,Belgium,Kortrijk,,,,,,rt1843f4e9964ce8=Harelbeke | rta113fca12daa33=Zuid-West-Vlaanderen,"R1 exact: 0; pool (carry the name): []; R2 subset: Harelbeke: missing ['krc']; Zuid-West-Vlaanderen: missing ['krc', 'harelbeke']; R3 city ['kortrijk']: 0"
1706,Dunav Rousse,Bulgaria,Ruse,1,rtb770b2d4f1246f,Dunav Ruse,R6b richer duplicate,identical labels; 3 providers against 1 (Reep duplicate record),rt5fb1b707a46d81=Dunav Ruse | rtb770b2d4f1246f=Dunav Ruse,"R1 exact: 2; pool (carry the name): ['Dunav Ruse', 'Dunav Ruse']; R2 subset: Dunav Ruse: missing ['rousse']; Dunav Ruse: missing ['rousse']; R3 city ['ruse']: 2; R6 duplicate label: 2 of 2 carry provider keys; R8 founded vs tables 1951-2027: founded [], 0 founded before first season; R6b richer duplicate: provider counts [3, 1]"
1715,PFC Minyor Pernik,Bulgaria,Pernik,,rtb89b207e0185ec,Minyor Pernik,R6b richer duplicate,identical labels; 5 providers against 2 (Reep duplicate record),rt723b7a5f3d6087=Minyor Pernik | rtb89b207e0185ec=Minyor Pernik,"R1 exact: 0; pool (carry the name): ['Minyor Pernik', 'Minyor Pernik']; R2 subset: Minyor Pernik: missing ['pfc']; Minyor Pernik: missing ['pfc']; R3 city []: 0; R6 duplicate label: 2 of 2 carry provider keys; R8 founded vs tables 1951-2013: founded [], 0 founded before first season; R6b richer duplicate: provider counts [5, 2]"
1721,PFK Dobrudzha,Bulgaria,Dobrich,,rt59dcd8e291a162,Dobrudzha,R1 exact,label equals 'Dobrudzha',rt59dcd8e291a162=Dobrudzha | rte8b13035ef4631=Dobrudzha 1919,R1 exact: 1; pool (carry the name): []
1728,PFC Haskovo,Bulgaria,Haskovo,,,,,,rt3d47b12f2a493c=OFK Haskovo | rte5a4064acbddf5=FK Haskovo,R1 exact: 0; pool (carry the name): []; R2 subset: OFK Haskovo: missing ['pfc']; FK Haskovo: missing ['pfc']; R3 city []: 0
1740,PFC Vidima-Rakovski,Bulgaria,Sevlievo,,,,,,rt517467dfe098bf=Vidima-Rakovski | rt6b0d198746bb82=Vidima-Rakovski,"R1 exact: 0; pool (carry the name): ['Vidima-Rakovski', 'Vidima-Rakovski']; R2 subset: Vidima-Rakovski: missing ['pfc']; Vidima-Rakovski: missing ['pfc']; R3 city ['sevlievo']: 2; R6 duplicate label: 2 of 2 carry provider keys; R8 founded vs tables 2004-2012: founded [], 0 founded before first season; R6b richer duplicate: provider counts [2, 1]"
1767,PFC Lokomotiv Mezdra,Bulgaria,Mezdra,,rt3720a76d4ead94,Lokomotiv Mezdra,R6b richer duplicate,identical labels; 5 providers against 2 (Reep duplicate record),rt3720a76d4ead94=Lokomotiv Mezdra | rtce6a23ec7f4c0b=Lokomotiv Mezdra | rte9772f9dc510ef=Lokomotiv Mezdra,"R1 exact: 0; pool (carry the name): ['Lokomotiv Mezdra', 'Lokomotiv Mezdra', 'Lokomotiv Mezdra']; R2 subset: Lokomotiv Mezdra: missing ['pfc']; Lokomotiv Mezdra: missing ['pfc']; Lokomotiv Mezdra: missing ['pfc']; R3 city []: 0; R6 duplicate label: 3 of 3 carry provider keys; R8 founded vs tables 2009-2010: founded [], 0 founded before first season; R6b richer duplicate: provider counts [5, 2, 2]"
1789,PFC Svetkavitsa,Bulgaria,Targovishte,,rtb3b010dc5a41fd,Svetkavitsa 2014,R3 city,city token ['targovishte'] in label or alias,rt6f1dae4f0731fa=Svetkavitsa 1922 | rtb3b010dc5a41fd=Svetkavitsa 2014,R1 exact: 0; pool (carry the name): []; R2 subset: Svetkavitsa 1922: missing ['pfc']; Svetkavitsa 2014: missing ['pfc']; R3 city ['targovishte']: 1
1822,NK Istra,Croatia,Pula,,,,,,rtca018bb83c713b=Istra | rtcc9547bea1a671=Istra 1961,R1 exact: 0; pool (carry the name): []; R2 subset: Istra: missing ['nk']; Istra 1961: missing ['nk']; R3 city ['pula']: 2
1829,NK Karlovac,Croatia,Karlovac,,,,,,rta4f58bcf2e07b7=Karlovac | rtec632652b0703b=Karlovac 1919,R1 exact: 0; pool (carry the name): []; R2 subset: Karlovac: missing ['nk']; Karlovac 1919: missing ['nk']; R3 city []: 0
1835,NK Primorac,Croatia,,,,,,,rt4eb64a463976fb=Primorac Stobreč | rtc3e48afc79b210=Primorac Biograd,R1 exact: 0; pool (carry the name): []; R2 subset: Primorac Stobreč: missing ['nk']; Primorac Biograd: missing ['nk']; R3 city []: 0
1848,Anorthosis Famagusta,Cyprus,Larnaca,1,rt95eae54852a180,Anorthosis,R6b richer duplicate,identical labels; 9 providers against 2 (Reep duplicate record),rt2b9637dd7a2706=Anorthosis | rt95eae54852a180=Anorthosis,"R1 exact: 2; pool (carry the name): ['Anorthosis', 'Anorthosis']; R2 subset: Anorthosis: missing ['famagusta']; Anorthosis: missing ['famagusta']; R3 city ['larnaca']: 0; R6 duplicate label: 2 of 2 carry provider keys; R8 founded vs tables 1935-2027: founded [], 0 founded before first season; R6b richer duplicate: provider counts [9, 2]"
1850,AC Omonia,Cyprus,Nicosia,1,rt66cd408e3ef924,Omonia Nicosia,R7 current,Level 1 row; only this candidate played in 2026,rt63fb1d3724ceff=Omonia Nicosia | rt66cd408e3ef924=Omonia Nicosia,"R1 exact: 2; pool (carry the name): ['Omonia Nicosia', 'Omonia Nicosia']; R7 current: 1 of 2 name-carrying candidates sat in a 2026+ season"
1908,FK Pardubice,Czech Republic,Pardubice,1,rt2720730ccb5e59,Pardubice,R1 exact,label equals 'Pardubice',rt2720730ccb5e59=Pardubice | rt98577bdb62f6e1=AS Pardubice,R1 exact: 1; pool (carry the name): []
2014,Boldklubben 1903,Denmark,Copenhagen,,,,,,rt0a4ec284cf95fa=B 1913 | rt74239ec803e26c=B 1908 | rtac79bc609f45ab=B 1909,R1 exact: 0; pool (carry the name): []; R2 subset: B 1913: missing ['boldklubben']; B 1908: missing ['boldklubben']; B 1909: missing ['boldklubben']; R3 city ['copenhagen']: 0; R5 qualifier '1903': 0
