sheet_row,team,country,reep_v1_id,reep_v1_label,reep_country,seasons_of_evidence,tier,evidence,in_lookup
,FC Dinamo City,Albania,rt4ad825e589f0d6,Dinamo City,Albania,3,ELIM-1,2023/2024 Superliga ELIM-1 | 2024/2025 Superliga ELIM-1 | 2025/2026 Superliga ELIM-1,no (table name not in Lookup)
8456,Central Córdoba,Argentina,rtb025b22d40274e,Central Córdoba SdE,Argentina,13,ELIM-1,2025 Liga Profesional Argentina ELIM-1 | 2026 Liga Profesional Argentina ELIM-1 | 2025 Liga Profesional Argentina ELIM-1 | 2026 Liga Profesional Argentina ELIM-1 | 2020 Copa de la Superliga ELIM-1 | 2021 Liga Profesional Argentina ELIM-1,yes
542,North Queensland Fury,Australia,rt00713e1ee32a6b,Northern Fury,Australia,2,ELIM-1,2009/2010 A-League Men ELIM-1 | 2010/2011 A-League Men ELIM-token,yes
545,Melbourne Heart,Australia,rtee4e6ea01fa156,Melbourne City,Australia,3,ELIM-1-blind,2011/2012 A-League Men ELIM-1-blind | 2012/2013 A-League Men ELIM-1-blind | 2013/2014 A-League Men ELIM-1-blind,yes
,Casino Salzburg,Austria,rt8e701668b28cce,Salzburg,Austria,4,ELIM-token,1993/1994 Bundesliga ELIM-token | 1994/1995 Bundesliga ELIM-token | 1995/1996 Bundesliga ELIM-token | 1996/1997 Bundesliga ELIM-token,no (table name not in Lookup)
,VSE St. Pölten,Austria,rt27804117bc4154,St. Pölten,Austria,1,ELIM-token,1993/1994 Bundesliga ELIM-token,no (table name not in Lookup)
1247,Weiner SK,Austria,rtf4dce4518d422d,Wiener Sport-Club,Austria,1,ELIM-short,1993/1994 Bundesliga ELIM-short,yes
,Linzer ASK,Austria,rt5bb1cc8466bfa4,LASK,Austria,1,ELIM-short,1995/1996 Bundesliga ELIM-short,no (table name not in Lookup)
1251,FC Linz,Austria,rte4db6d4d73e5d7,Blau-Weiß Linz,Austria,1,ELIM-short,1996/1997 Bundesliga ELIM-short,yes
,SV Wüstenrot Salzburg,Austria,rt8e701668b28cce,Salzburg,Austria,8,ELIM-token,1997/1998 Bundesliga ELIM-token | 1998/1999 Bundesliga ELIM-token | 1999/2000 Bundesliga ELIM-token | 2000/2001 Bundesliga ELIM-token | 2001/2002 Bundesliga ELIM-token | 2002/2003 Bundesliga ELIM-token,no (table name not in Lookup)
1231,FC Admira Wacker Mödling,,,,,16,CONFLICT,rt8b21c3c0968c5b=Wacker Innsbruck: 1997/1998 Bundesliga ELIM-short || rtf6b0cf06a27884=Admira Wacker Mödling: 2000/2001 Bundesliga ELIM-name | 2001/2002 Bundesliga ELIM-name | 2004/2005 Bundesliga ELIM-name || rtccef8d8c32ffe0=Admira Wacker: 2015/2016 Bundesliga ELIM-1 | 2016/2017 Bundesliga ELIM-1 | 2017/2018 Bundesliga ELIM-1,yes
1235,SC Bregenz,,,,,6,CONFLICT,rt4db42b893eb86a=SW Bregenz: 1999/2000 Bundesliga ELIM-short | 2000/2001 Bundesliga ELIM-short | 2004/2005 Bundesliga ELIM-short || rt90860c8c7b806b=Schwarz-Weiß Bregenz: 2023/2024 2. Liga ELIM-short | 2024/2025 2. Liga ELIM-short | 2025/2026 2. Liga ELIM-short,yes
,ASKÖ Pasching,,,,,2,CONFLICT,rt9c9397b03f44c8=ASKÖ Pasching: 2002/2003 Bundesliga ELIM-name || rt763a0300242153=Austria Kärnten: 2006/2007 Bundesliga ELIM-1-blind,no
,Schwanenstadt,Austria,rteb78b2dc82ba72,SC Schwanenstadt,Austria,1,ELIM-name,2007/2008 2. Liga ELIM-name,no (table name not in Lookup)
1315,WSG Wattens,Austria,rt4ce926615a1df0,WSG Tirol,Austria,3,ELIM-1-blind,2016/2017 2. Liga ELIM-1-blind | 2017/2018 2. Liga ELIM-1-blind | 2018/2019 2. Liga ELIM-1-blind,yes
1263,DSV Leoben,Austria,rt97f27f34a55737,Leoben,Austria,1,ELIM-short,2023/2024 2. Liga ELIM-short,yes
1386,FC Inter Baku,Azerbaijan,rt143472d20d0d53,Şamaxı,Azerbaijan,6,ELIM-1-blind,2011/2012 Premyer Liqa ELIM-1-blind | 2012/2013 Premyer Liqa ELIM-1-blind | 2013/2014 Premyer Liqa ELIM-1-blind | 2014/2015 Premyer Liqa ELIM-1-blind | 2015/2016 Premyer Liqa ELIM-1-blind | 2016/2017 Premyer Liqa ELIM-1-blind,yes
1387,Keşla FK,Azerbaijan,rt143472d20d0d53,Şamaxı,Azerbaijan,4,ELIM-1-blind,2017/2018 Premyer Liqa ELIM-1-blind | 2018/2019 Premyer Liqa ELIM-1-blind | 2019/2020 Premyer Liqa ELIM-1-blind | 2020/2021 Premyer Liqa ELIM-1-blind,yes
1342,Shahdagh Qusar,Azerbaijan,rtfe922397219004,Şahdağ,Azerbaijan,1,ELIM-short,2006/2007 Premyer Liqa ELIM-short,yes
,Torpedo-Kadino Mogilev,Belarus,rtd90c409ac96959,Torpedo-Kadino,Belarus,1,ELIM-token,1997 Premier League ELIM-token,no (table name not in Lookup)
,MPKC Mozyr,Belarus,rteb477ac8b1393c,Slavia Mozyr,Belarus,1,ELIM-token,1997 Premier League ELIM-token,no (table name not in Lookup)
,Lokomotiv-96 Vitebsk,Belarus,rt572d0e1f8c22f8,Vitebsk,Belarus,3,ELIM-token,1997 Premier League ELIM-token | 1998 Premier League ELIM-token | 1999 Premier League ELIM-token,no (table name not in Lookup)
,Naftan-Devon Novopolotsk,Belarus,rtde1b5e99ec7886,Naftan,Belarus,3,ELIM-token,1997 Premier League ELIM-token | 1998 Premier League ELIM-token | 1999 Premier League ELIM-token,no (table name not in Lookup)
,Svisloch-Krovlya Osipovichi,Belarus,rta998b292e1ccbf,Osipovichi,Belarus,1,ELIM-token,1999 Premier League ELIM-token,no (table name not in Lookup)
,Neman-Belkard Grodno,Belarus,rte481cd14660061,Neman Grodno,Belarus,3,ELIM-token,1999 Premier League ELIM-token | 2000 Premier League ELIM-token | 2001 Premier League ELIM-token,no (table name not in Lookup)
,Dnepr-Transmash Mogilev,Belarus,rt0146aac0b6fa92,Dnepr Mogilev,Belarus,6,ELIM-short,2000 Premier League ELIM-short | 2001 Premier League ELIM-token | 2002 Premier League ELIM-token | 2003 Premier League ELIM-token | 2004 Premier League ELIM-token | 2005 Premier League ELIM-token,no (table name not in Lookup)
1442,Torpedo-MAZ,Belarus,rt44fcfa02d27baf,Torpedo,Belarus,2,ELIM-token,2001 Premier League ELIM-token | 2002 Premier League ELIM-token,yes
1427,FC MTZ-RIPO,Belarus,rtdad093243163c9,Partizan Minsk,Belarus,4,ELIM-1-blind,2006 Premier League ELIM-1-blind | 2007 Premier League ELIM-1-blind | 2008 Premier League ELIM-1-blind | 2009 Premier League ELIM-1-blind,yes
1439,FC Brest,Belarus,rt60668d75758e99,Dinamo Brest,Belarus,1,ELIM-1,2011 Premier League ELIM-1,yes
,Patro Eisden,Belgium,rtfaa46966a13323,Patro Eisden,Belgium,3,ELIM-name,1960/1961 First Division A ELIM-name | 2014/2015 Challenger Pro League ELIM-name | 2015/2016 Challenger Pro League ELIM-name,no (table name not in Lookup)
,R. Beerschot AC,Belgium,rta18cae103e33b7,Beerschot VAC,Belgium,5,ELIM-token,1960/1961 First Division A ELIM-token | 1961/1962 First Division A ELIM-token | 1962/1963 First Division A ELIM-token | 1963/1964 First Division A ELIM-token | 1964/1965 First Division A ELIM-token,no (table name not in Lookup)
1485,K. Beringen FC,,,,,20,CONFLICT,rt8b4ec62845656a=Koninklijke  Beringen: 1962/1963 First Division A ELIM-token | 1963/1964 First Division A ELIM-token | 1965/1966 First Division A ELIM-token || rt9cc44cc14857c2=Beringen: 1964/1965 First Division A ELIM-token | 1967/1968 First Division A ELIM-token || rtd2974e706ba064=Beringen-Heusden-Zolder: 2004/2005 Challenger Pro League ELIM-token,yes
,K. Beerschot VAV,Belgium,rta18cae103e33b7,Beerschot VAC,Belgium,25,ELIM-token,1965/1966 First Division A ELIM-token | 1966/1967 First Division A ELIM-token | 1967/1968 First Division A ELIM-token | 1968/1969 First Division A ELIM-token | 1969/1970 First Division A ELIM-token | 1970/1971 First Division A ELIM-token,no (table name not in Lookup)
,R. Crossing Cl de Schaerbeek,Belgium,rtd4d9ef02d5a7f1,Crossing Schaerbeek,Belgium,4,ELIM-token,1969/1970 First Division A ELIM-token | 1970/1971 First Division A ELIM-token | 1971/1972 First Division A ELIM-token | 1972/1973 First Division A ELIM-token,no (table name not in Lookup)
1465,KSC Lokeren,,,,,45,CONFLICT,rtde4e8c7112af37=Lokeren Oost-Vlaanderen: 1974/1975 First Division A ELIM-token | 1975/1976 First Division A ELIM-token | 1976/1977 First Division A ELIM-token || rt54f138c00192ce=Lokeren: 2024/2025 Challenger Pro League ELIM-token | 2025/2026 Challenger Pro League ELIM-token,yes
1461,RAA Louviéroise,,,,,12,CONFLICT,rt45634b264e6887=La Louvière: 1975/1976 First Division A ELIM-short | 1977/1978 First Division A ELIM-short | 1978/1979 First Division A ELIM-short || rt77961c126501e1=RAAL La Louvière: 2024/2025 Challenger Pro League ELIM-short | 2025/2026 First Division A ELIM-1,yes
1516,K. Sint-Niklase SK,Belgium,rta553b374354f52,Sint-Niklase,Belgium,1,ELIM-token,1984/1985 First Division A ELIM-token,yes
