country,league,end_year,site_clubs,known,reep_competition,overlap,note
Albania,Albanian National Championship,1930,6,2,,,too few known
Albania,Albanian National Championship,1931,7,3,,0.00,no season reached overlap
Albania,Albanian National Championship,1932,5,3,,0.00,no season reached overlap
Albania,Albanian National Championship,1933,5,2,,,too few known
Albania,Albanian National Championship,1934,7,2,,,too few known
Albania,Albanian National Championship,1936,8,3,,0.00,no season reached overlap
Albania,Albanian National Championship,1937,10,4,,0.00,no season reached overlap
Albania,Albanian National Championship,1939,8,3,,0.00,no season reached overlap
Albania,Albanian National Championship,1940,8,1,,,too few known
Albania,Albanian National Championship,1942,10,2,,,too few known
Albania,Albanian National Championship,1945,12,6,,0.00,no season reached overlap
Albania,Albanian National Championship,1946,12,7,,0.00,no season reached overlap
Albania,Albanian National Championship,1947,9,4,,0.00,no season reached overlap
Albania,Albanian National Championship,1948,14,6,,0.00,no season reached overlap
Albania,Albanian National Championship,1949,9,2,,,too few known
Albania,Albanian National Championship,1950,12,3,,0.00,no season reached overlap
Albania,Albanian National Championship,1951,14,3,,0.00,no season reached overlap
Albania,Albanian National Championship,1952,21,3,,0.00,no season reached overlap
Albania,Albanian National Championship,1953,10,2,,,too few known
Albania,Albanian National Championship,1954,12,3,,0.00,no season reached overlap
Albania,Albanian National Championship,1955,16,2,,,too few known
Albania,Albanian National Championship,1956,9,2,,,too few known
Albania,Albanian National Championship,1957,8,2,,,too few known
Albania,Albanian National Championship,1958,8,6,,0.00,no season reached overlap
Albania,Albanian National Championship,1959,8,6,,0.00,no season reached overlap
Albania,Albanian National Championship,1960,10,7,,0.00,no season reached overlap
Albania,Albanian National Championship,1961,10,7,,0.00,no season reached overlap
Albania,Albanian National Championship,1963,12,8,,0.00,no season reached overlap
Albania,Albanian National Championship,1964,12,8,,0.00,no season reached overlap
Albania,Albanian National Championship,1965,12,7,,0.00,no season reached overlap
Albania,Albanian National Championship,1966,12,8,,0.00,no season reached overlap
Albania,Albanian National Championship,1967,12,8,,0.00,no season reached overlap
Albania,Albanian National Championship,1968,14,9,,0.00,no season reached overlap
Albania,Albanian National Championship,1970,14,9,,0.00,no season reached overlap
Albania,Albanian National Championship,1971,14,10,,0.00,no season reached overlap
Albania,Albanian National Championship,1972,14,8,,0.00,no season reached overlap
Albania,Albanian National Championship,1973,14,9,,0.00,no season reached overlap
Albania,Albanian National Championship,1974,14,9,,0.00,no season reached overlap
Albania,Albanian National Championship,1975,14,8,,0.00,no season reached overlap
Albania,Albanian National Championship,1976,12,7,,0.00,no season reached overlap
Albania,Albanian National Championship,1977,12,7,,0.00,no season reached overlap
Albania,Albanian National Championship,1978,12,7,,0.00,no season reached overlap
Albania,Albanian National Championship,1979,14,9,,0.00,no season reached overlap
Albania,Albanian National Championship,1980,14,10,,0.00,no season reached overlap
Albania,Albanian National Championship,1981,14,10,,0.00,no season reached overlap
Albania,Albanian National Championship,1982,14,9,,0.00,no season reached overlap
Albania,Albanian National Championship,1983,14,10,,0.00,no season reached overlap
Albania,Albanian National Championship,1984,14,9,,0.00,no season reached overlap
Albania,Albanian National Championship,1985,14,10,,0.00,no season reached overlap
Albania,Albanian National Championship,1986,14,9,,0.00,no season reached overlap
Albania,Albanian National Championship,1987,14,10,,0.00,no season reached overlap
Albania,Albanian National Championship,1988,14,10,,0.00,no season reached overlap
Albania,Albanian National Championship,1989,12,8,,0.00,no season reached overlap
Albania,Albanian National Championship,1990,12,9,,0.00,no season reached overlap
Albania,Albanian National Championship,1991,14,10,,0.00,no season reached overlap
Albania,Albanian National Championship,1992,16,15,,0.00,no season reached overlap
Albania,Albanian National Championship,1993,16,16,,0.00,no season reached overlap
Albania,Albanian National Championship,1994,14,14,,0.00,no season reached overlap
Albania,Albanian National Championship,1995,16,15,,0.00,no season reached overlap
Albania,Albanian National Championship,1996,18,16,,0.00,no season reached overlap
Albania,Albanian National Championship,1997,18,15,,0.00,no season reached overlap
Albania,Albanian National Championship,1998,18,17,,0.00,no season reached overlap
Albania,Albanian National Championship,1999,16,16,,0.00,no season reached overlap
Albania,Albanian National Championship,2000,14,13,,0.00,no season reached overlap
Albania,Albanian Superliga,2001,14,14,,0.00,no season reached overlap
