country,league,end_year,reep_competition,site_clubs_left,reep_teams_left
Argentina,Primera B Nacional,2024,Primera Nacional,Altos Hornos Zapla,rt79a32583b61491=San Miguel; rt6cb8ca3af5e822=Estudiantes Caseros
Argentina,Primera B Nacional Argentina,2016,Primera Nacional,Juventud Unida Universitario,rt12e074a7897bff=Juventud Unida G.; rt9d5e96a5d6e6e6=Juventud Unida Univ.; rtd5758920d00475=Estudiantes de San Luis
Armenia,Armenian Premier,2019,Premier League,Artsakh FC,rta086b9f88c8aa6=Noah; rt011fca45eaf4ea=Syunik
Australia,A-League,2011,A-League Men,Melbourne Heart,rtee4e6ea01fa156=Melbourne City
Austria,Austrian Bundesliga,1994,Bundesliga,FC Tirol-Innsbruck,rtf6b0cf06a27884=Admira Wacker Mödling; rt3f5a8cb741cef2=Sportclub; rt8b21c3c0968c5b=Wacker Innsbruck
Austria,Austrian Bundesliga,1995,Bundesliga,FC Linz; Linzer ASK; FC Tirol-Innsbruck,rte4db6d4d73e5d7=Blau-Weiß Linz; rt5bb1cc8466bfa4=LASK; rt8b21c3c0968c5b=Wacker Innsbruck
Austria,Austrian Bundesliga,1996,Bundesliga,FC Tirol-Innsbruck,rtf6b0cf06a27884=Admira Wacker Mödling; rt8b21c3c0968c5b=Wacker Innsbruck
Austria,Austrian Bundesliga,1997,Bundesliga,FC Tirol-Innsbruck,rt8b21c3c0968c5b=Wacker Innsbruck
Austria,Austrian Bundesliga,1999,Bundesliga,FC Tirol-Innsbruck,rt8b21c3c0968c5b=Wacker Innsbruck
Austria,Austrian Bundesliga,2000,Bundesliga,FC Tirol-Innsbruck,rt8b21c3c0968c5b=Wacker Innsbruck
Austria,Austrian Bundesliga,2001,Bundesliga,FC Tirol-Innsbruck,rtccef8d8c32ffe0=Admira Wacker
Austria,Austrian Bundesliga,2002,Bundesliga,SC Bregenz; FC Tirol-Innsbruck,rtccef8d8c32ffe0=Admira Wacker; rt8b21c3c0968c5b=Wacker Innsbruck
Austria,Austrian Bundesliga,2003,Bundesliga,SC Bregenz; FC Admira Wacker Mödling,rt99a354b8078972=Juniors OÖ
Austria,Austrian Bundesliga,2005,Bundesliga,ASKÖ Pasching,rt763a0300242153=Austria Kärnten; rtccef8d8c32ffe0=Admira Wacker
Austria,Austrian Bundesliga,2006,Bundesliga,FC Admira Wacker Mödling; ASKÖ Pasching,rt763a0300242153=Austria Kärnten
