sheet_row,team,country,column,value,team_matches,column_matches,note
396,Maritzburg United,South Africa,curname,Durban City,Maritzburg United,Durban City,curname column points at a different entity than Team; check the workbook cell
482,ASKO Kara,Togo,alt,ASC Kara,ASKO de Kara,Kara,alt column points at a different entity than Team; check the workbook cell
673,Bengaluru FC,India,alt,Bengaluru,Bengaluru | SC Bengaluru,Bengaluru,alt column points at a different entity than Team; check the workbook cell
679,Inter Kashi FC,India,curname,Dempo SC,Inter Kashi,Dempo,curname column points at a different entity than Team; check the workbook cell
680,Diamond Harbour FC,India,curname,Dempo SC,Diamond Harbour,Dempo,curname column points at a different entity than Team; check the workbook cell
681,Hyderabad FC,India,curname,SC Delhi,Hyderabad,Delhi FC | Delhi,curname column points at a different entity than Team; check the workbook cell
691,Malut United FC,Indonesia,curname,Sriwijaya,Malut United,Sriwijaya,curname column points at a different entity than Team; check the workbook cell
700,Persebaya FC,Indonesia,curname,Persebaya,Persebaya Surabaya,Persebaya 1927,curname column points at a different entity than Team; check the workbook cell
705,PSIM Yogyakarta,Indonesia,curname,Sriwijaya,PSIM Yogyakarta,Sriwijaya,curname column points at a different entity than Team; check the workbook cell
707,PSBS Biak Numfor,Indonesia,curname,Sriwijaya,PSBS Biak Numfor,Sriwijaya,curname column points at a different entity than Team; check the workbook cell
708,Semen Padang,Indonesia,curname,Sriwijaya,Semen Padang,Sriwijaya,curname column points at a different entity than Team; check the workbook cell
732,Shams Azar,Iran,curname,Machine Sazi,Shams Azar Qazvin,Machine Sazi,curname column points at a different entity than Team; check the workbook cell
733,Kheybar Khorramabad,Iran,curname,Naft Tehran,Kheybar Khorramabad,Naft Tehran,curname column points at a different entity than Team; check the workbook cell
734,Chadormalou Ardakan,Iran,curname,Naft Tehran,Chadormalu SC,Naft Tehran,curname column points at a different entity than Team; check the workbook cell
735,Mes Shahr-e Babak,Iran,curname,Steel Azin FC,Mes Shahr-e Babak,Steel Azin,curname column points at a different entity than Team; check the workbook cell
755,Mes Sarcheshme,Iran,curname,Shahr Khodro,Mes Sarcheshme,Shahr Khodro,curname column points at a different entity than Team; check the workbook cell
803,Omiya Ardija,Japan,alt,Omiya Ardija,RB Omiya Ardija | Omiya Ardija,Omiya Ardija,alt column points at a different entity than Team; check the workbook cell
884,Yadanarbon,Myanmar,curname,Yadanarbon,Yangon United | Yadanarbon,Yadanarbon,curname column points at a different entity than Team; check the workbook cell
958,Ulsan Hyundai Horang-i,South Korea,alt,Ulsan Hyundai FC,Ulsan Hyundai Horang-i,Ulsan HD,alt column points at a different entity than Team; check the workbook cell
1049,Kokand 1912,Uzbekistan,curname,Lokomotiv Tashkent,Kokand-1912,Lokomotiv,curname column points at a different entity than Team; check the workbook cell
1231,FC Admira Wacker Mödling,Austria,alt,Admira Wacker / Admira Wien / Admira Wacker,Admira Wacker Mödling,Admira Wacker,alt column points at a different entity than Team; check the workbook cell
1235,SC Bregenz,Austria,alt,Schwarz-Weiß Bregenz,SW Bregenz,Schwarz-Weiß Bregenz,alt column points at a different entity than Team; check the workbook cell
1266,SK Austria Kärnten,Austria,alt,SV Pasching,Austria Kärnten,ASKÖ Pasching,alt column points at a different entity than Team; check the workbook cell
1268,Kremser SC,Austria,alt,SC Krems,Krems | Krems / Rehberg,Krems,alt column points at a different entity than Team; check the workbook cell
1346,FK Simurq Zaqatala,Azerbaijan,alt,Zaqatala,Simurq,Zaqatala,alt column points at a different entity than Team; check the workbook cell
1431,Dnyapro Mogilev,Belarus,alt,Dnepr Mogilev / FC Dnepr Mogilev,Dnyapro,Dnepr Mogilev,alt column points at a different entity than Team; check the workbook cell
1456,KSK Beveren,Belgium,alt,SK Beveren,KSK Beveren,Beveren,alt column points at a different entity than Team; check the workbook cell
1461,RAA Louviéroise,Belgium,alt,RAAL La Louvière,La Louvière,RAAL La Louvière,alt column points at a different entity than Team; check the workbook cell
1462,Lommel SK,Belgium,alt,La Louvière / Lommel United,Lommel,La Louvière,alt column points at a different entity than Team; check the workbook cell
1463,Lierse SK,Belgium,alt,K. Lierse S.K. / Lierse,Lierse SK,Lierse,alt column points at a different entity than Team; check the workbook cell
1465,KSC Lokeren,Belgium,alt,KSC Lokeren / Lokeren-Temse / Lokeren,Lokeren Oost-Vlaanderen,Lokeren,alt column points at a different entity than Team; check the workbook cell
1466,KAS Eupen,Belgium,alt,AS Eupen,Eupen,FC Eupen | Eupen,alt column points at a different entity than Team; check the workbook cell
1502,RAEC Mons,Belgium,alt,Mons,RAEC Mons,Mons,alt column points at a different entity than Team; check the workbook cell
1509,Roeselare,Belgium,alt,KSV Roeselare / Roeselare,Roeselare,Roeselare | KSV Roeselare,alt column points at a different entity than Team; check the workbook cell
1545,Lierse Kempenzonen,Belgium,alt,Lierse,Lierse SK,Lierse,alt column points at a different entity than Team; check the workbook cell
1716,Marek Dupnitsa,Bulgaria,alt,Marek Stanke Dimitrov / Marek,Marek Dupnitsa,Marek,alt column points at a different entity than Team; check the workbook cell
1721,PFK Dobrudzha,Bulgaria,alt,Dobrudzha,Dobrudzha | Dobrudzha 1919,Dobrudzha,alt column points at a different entity than Team; check the workbook cell
1738,Hebar Pazardzhik,Bulgaria,alt,Hebar 1918,Hebar,Hebar 1918,alt column points at a different entity than Team; check the workbook cell
1806,NK Varaždin,Croatia,alt,NK Varazdin / Varteks Varazdin / NK Varazdin,Varaždin,Varteks Varaždin,alt column points at a different entity than Team; check the workbook cell
1897,Bohemians 1905,Czech Republic,alt,Bohemians Praha / Bohemians 1905,Bohemians 1905,Bohemians 1905 | Bohemians Praha,alt column points at a different entity than Team; check the workbook cell
1908,FK Pardubice,Czech Republic,alt,Pardubice,Pardubice | AS Pardubice,Pardubice,alt column points at a different entity than Team; check the workbook cell
1993,Randers FC,Denmark,alt,Randers FC / Randers Freja / Randers FC,Randers,Randers Freja,alt column points at a different entity than Team; check the workbook cell
2003,Esbjerg fB,Denmark,alt,Esbjerg fB / Esbjerg,Esbjerg,Esbjerg | Esbjerg,alt column points at a different entity than Team; check the workbook cell
2123,Bradford City,England,alt,Bradford City AFC / Bradford,Bradford City,Bradford City | Bradford (Park Avenue),alt column points at a different entity than Team; check the workbook cell
2131,Peterborough United,England,alt,Peterborough United FC / Peterborough,Peterborough United,Peterborough Sports | Peterborough United,alt column points at a different entity than Team; check the workbook cell
2157,York City,England,alt,York,York City,York City CC,alt column points at a different entity than Team; check the workbook cell
