sheet_row,team,city,metro_area,country,level,tier,n_candidates,suggested_if_only_one_has_keys,candidates
52,Canon Yaoundé,Yaoundé,Yaoundé,Cameroon,1,T1,2,reep_t6d11cd4e,reep_t659f1ad6:Canon Yaoundé:Cameroon:Q119292837 | reep_t6d11cd4e:Canon Yaoundé:Cameroon:Q527947
326,Barau FC,Kano,Kano,Nigeria,1,T1,2,,reep_t65eaae8b:Barau FC:Nigeria:Q135735622 | reep_t954d8b93:Barau F.C.:Nigeria:Q135436668
356,AS Excelsior,Saint-Joseph,Saint-Joseph,Réunion,,T1,2,,reep_t703a897a:AS Excelsior:France:Q2819504 | reep_tb5ab3c8b:A.S. Excelsior:France:Q60785879
360,Rayon Sports,Kigali,Kigali,Rwanda,,T2a,2,reep_tf4788f54,reep_tf34adade:Rayon Sports Football Club (féminines):Rwanda:Q125149128 | reep_tf4788f54:Rayon Sports F.C.:Rwanda:Q2635703
368,Casa Sport,Ziguinchor,Ziguinchor,Senegal,,T2a,2,,reep_t457b1c20:Casa Sports:Senegal:Q2940765 | reep_td6b9d909:Casa Sports (féminines):Senegal:Q133849505
392,Durban City FC,Durban,Durban,South Africa,1,T1,2,,reep_t4766ce86:Durban City F.C.:South Africa:Q5316279 | reep_t4e35dea9:Durban City F.C.:South Africa:Q5316280
396,Maritzburg United,Pietermaritzburg,Pietermaritzburg,South Africa,,T2a,3,reep_tc94b08e7,reep_t4766ce86:Durban City F.C.:South Africa:Q5316279 | reep_t4e35dea9:Durban City F.C.:South Africa:Q5316280 | reep_tc94b08e7:Maritzburg United F.C.:South Africa:Q1899447
398,Cape Town City,Cape Town,Cape Town,South Africa,,T2a,2,reep_tab0c44ef,reep_t3e425b4d:Cape Town City F.C.:South Africa:Q5035093 | reep_tab0c44ef:Cape Town City F.C.:South Africa:Q25238665
406,Highlands Park FC,Johannesburg,Johannesburg,South Africa,,T1,2,reep_t5ce51459,reep_t315efbb2:Highlands Park F.C.:South Africa:Q105409592 | reep_t5ce51459:Highlands Park F.C.:South Africa:Q2605637
435,Al-Merreikh,Omdurman,Khartoum,Sudan,1,T2a,2,,reep_t0362d73a:Al-Merreikh SC (Al-Fasher):Sudan:Q15933830 | reep_t4faf3a66:Al-Merreikh (Obayed):Sudan:Q132141519
528,Sydney FC,Sydney,Sydney,Australia,1,T1,2,,reep_t3d2e2ccd:Sydney FC:Australia:Q330143 | reep_ted77945c:Sydney FC:Australia:Q15649515
