sheet_row,team,city,metro_area,country,level
9,MB Rouisset,Rouissat,Rouissat,Algeria,1
10,MC Alger,Algiers,Algiers,Algeria,1
12,MC Oran,Oran,Oran,Algeria,1
23,Atlético Petróleos,Luanda,Luanda,Angola,
25,InterClube,Luanda,Luanda,Angola,
27,Primeiro de Agosto,Luanda,Luanda,Angola,
28,Recreativo Libolo,Libolo,Libolo,Angola,
29,Sagrada Esperanca,Dundo,Dundo,Angola,
34,Tonnerre FC,Abomey,Abomey,Benin,
41,Etoile Filante,Ouagadougou,Ouagadougou,Burkina Faso,
42,RC Bobo Dioulasso,Bobo Dioulasso,Bobo Dioulasso,Burkina Faso,
47,LLB Académic,Bujumbura,Bujumbura,Burundi,
53,Colombe FC,Sangmélima,Sangmélima,Cameroon,1
54,Coton Sport,Garoua,Garoua,Cameroon,1
56,Fauve Azur Elite,Yaoundé,Yaoundé,Cameroon,1
62,Victoria Utd Limbé,Douala,Douala,Cameroon,1
72,DFC 8ème Arrondissement,Bangui,Bangui,Central African Republic,
76,Elect Sport N'Djamena,N'Djamena,N'Djamena,Chad,
81,AGSM,Moroni,Moroni,Comoros,
82,Apaches Club de Mitsamiouli,Mitsamiouli,Mitsamiouli,Comoros,
83,AS Komorozine,Domoni,Domoni,Comoros,
84,Coin Nord,Mitsamiouli,Mitsamiouli,Comoros,
85,Djabal Club,Iconi,Iconi,Comoros,
86,Elan Club,Mitsoudjé,Mitsoudjé,Comoros,
87,Etoile d'Or,Mirontsy,Mirontsy,Comoros,
89,Volcan Club,Moroni,Moroni,Comoros,
91,AS Police Brazzaville,Brazzaville,Brazzaville,Congo,
97,AC Rangers,Kinshasa,Kinshasa,Congo DR,1
100,AS Malole,Kananga,Kananga,Congo DR,1
101,AS Maniema,Kindu,Kindu,Congo DR,1
102,AS Simba Kamikaze,Kolwezi,Kolwezi,Congo DR,1
107,DC Motema Pembe,Kinshasa,Kinshasa,Congo DR,1
109,FC Les Aigles du Congo,Kinshasa,Kinshasa,Congo DR,1
111,FC Tanganyika,Kalémie,Kalémie,Congo DR,1
112,JSG Bazano,Lubumbashi,Lubumbashi,Congo DR,1
114,New Jak FC,Kinshasa,Kinshasa,Congo DR,1
116,OC Renaissance,Kinshasa,Kinshasa,Congo DR,1
124,AFAD Djékanou,Abidjan,Abidjan,Côte d'Ivoire,
125,Africa Sports,Abidjan,Abidjan,Côte d'Ivoire,
128,JC Abidjan,Abidjan,Abidjan,Côte d'Ivoire,
130,Stade Abidjan,Abidjan,Abidjan,Côte d'Ivoire,
131,Al-Ittihad Al-Sakndary,Alexandria,Alexandria,Egypt,1
149,Al Qanah,Ismaïlia,Ismaïlia,Egypt,1
153,Misr Lel Makasa,Faiyum,Faiyum,Egypt,
158,Kahraba Ismailia SC,Ismaïlia,Ismaïlia,Egypt,
159,Olympic Alexandria,Alexandria,Alexandria,Egypt,
162,Alassiouty Sport,Asyut,Asyut,Egypt,
163,Ala'ab Damanhur,Damanhur,Damanhur,Egypt,
164,Telefonat Beni Suef,Beni Suef,Beni Suef,Egypt,
167,Ittesalat,Cairo,Cairo,Egypt,
168,Ittihad Al-Shorta,Cairo,Cairo,Egypt,
170,Nasr Cairo,Cairo,Cairo,Egypt,
172,Al-Mansoura,El Mansoura,El Mansoura,Egypt,
174,Baladiyyat Al Mahalla,El-Mahalla El-Kubra,El-Mahalla El-Kubra,Egypt,
177,Tersana Giza,Cairo,Cairo,Egypt,
178,Al Raja,Mersa Matruh,Mersa Matruh,Egypt,
179,Al Minya FC,Minya,Minya,Egypt,
188,Sony Elá Nguema,Malabo,Malabo,Equatorial Guinea,
195,Adama Kanema,Adama,Adama,Ethiopia,1
196,Arbaminch Kanema,Arba Minch,Arba Minch,Ethiopia,1
197,Bahir Dar City,Bahir Dar,Bahir Dar,Ethiopia,1
198,Commercial Bank of Ethiopia,Addis Ababa,Addis Ababa,Ethiopia,1
199,Defence Force FC,Addis Ababa,Addis Ababa,Ethiopia,1
200,Dire Dawa Kanema,Dire Dawa,Dire Dawa,Ethiopia,1
203,Ethiopian Medhin,Addis Ababa,Addis Ababa,Ethiopia,1
206,Hawassa City,Awassa,Awassa,Ethiopia,1
212,Wolaitta Dicha,Wolaita Sodo,Wolaita Sodo,Ethiopia,1
222,Gambia Armed Forces,Banjul,Banjul,Gambia,
231,Hearts of Oak,Accra,Accra,Ghana,
232,Kumasi Asante Kotoko,Kumasi,Kumasi,Ghana,
236,Hafia Conakry,Conakry,Conakry,Guinea,
254,LISCR,Monrovia,Monrovia,Liberia,
255,LPRC Oilers,Monrovia,Monrovia,Liberia,
256,Mighty Barolle,Monrovia,Monrovia,Liberia,
259,Al Ahly Tripoli,Tripoli,Tripoli,Libya,
260,Al Ittihad Tripoli,Tripoli,Tripoli,Libya,
261,Al-Ahly Benghazi,Benghazi,Benghazi,Libya,
262,Al-Olympique,Az Zawiyah,Az Zawiyah,Libya,
272,Club Olympique de Bamako,Bamako,Bamako,Mali,
274,Onze Créateurs,Bamako,Bamako,Mali,
277,ASC Mauritel,Nouakchott,Nouakchott,Mauritania,
279,CF Cansado,Nouadhibou,Nouadhibou,Mauritania,
284,Pamplemousse SC,Belle Vue,Belle Vue,Mauritius,
285,Club Meknès,Meknès,Meknès,Morocco,1
286,Difaâ El Jadidi,El Jadida,El Jadida,Morocco,1
291,KAC Marrakech,Marrakesh,Marrakesh,Morocco,1
296,Renaissance Berkane,Berkane,Berkane,Morocco,1
297,Renaissance Zemamra,Zemamra,Zemamra,Morocco,1
299,US Yaacub Mansour,Rabat,Rabat,Morocco,1
300,Wydad Casablanca,Casablanca,Casablanca,Morocco,1
