source,key,name,country,type,tier,reep_id,reep_name,key_wikidata,key_fbref,key_transfermarkt,key_opta,candidates
football_competitions,england|fa-cup,FA Cup,England,cup_major,T1,reep_l0dd84076,FA Cup,Q11151,514,FAC,1,
football_competitions,scotland|scottish-cup,Scottish Cup,Scotland,cup_major,T1,reep_l0861368d,Scottish Cup,,,SFA,8kt53kt3mfo29gldhkl05u25b,
football_competitions,england|football-league,Football League,England,league,NONE,,,,,,,
football_competitions,england|first-division,First Division,England,league,NONE,,,,,,,
football_competitions,netherlands|knvb-beker,KNVB Beker,Netherlands,cup_major,NONE,,,,,,,
football_competitions,spain|copa-del-rey,Copa del Rey,Spain,cup_major,T1,reep_lc3c665d8,Copa del Rey,Q483794,569,CDR,,
football_competitions,england|fa-charity-shield,FA Charity Shield,England,super,NONE,,,,,,,
football_competitions,france|coupe-de-france,Coupe de France,France,cup_major,T1,reep_l03c3235b,Coupe de France,Q212412,518,,361,
football_competitions,portugal|campeonato-de-portugal,Campeonato de Portugal,Portugal,cup_major,NONE,,,,,,,
football_competitions,italy|coppa-italia,Coppa Italia,Italy,cup_major,T1,reep_l47ebff07,Coppa Italia,Q169918,529,CIT,,
football_competitions,eur|mitropa-cup,Mitropa Cup,,european,NONE,,,,,,,
football_competitions,germany|tschammer-pokal,Tschammer-Pokal,Germany,cup_major,NONE,,,,,,,
football_competitions,soviet-union|soviet-cup,Soviet Cup,Soviet Union,cup_major,NONE,,,,,,,
football_competitions,portugal|taca-de-portugal,Taça de Portugal,Portugal,cup_major,T1,reep_l1c17f210,Taça de Portugal,Q29224,,POPO,,
football_competitions,eur|latin-cup,Latin Cup,,european,NONE,,,,,,,
football_competitions,germany|dfb-pokal,DFB-Pokal,Germany,cup_major,T1,reep_le92f4144,DFB-Pokal,Q150880,521,DFB,231,
football_competitions,eur|inter-cities-fairs-cup,Inter-Cities Fairs Cup,,european,NONE,,,,,,,
football_competitions,eur|european-cup,European Cup,,european,NONE,,,,,,,
football_competitions,eur|copa-libertadores,Copa Libertadores,,european,T1,reep_l9d90b1ca,Copa Libertadores,Q184795,14,CLI,420,
football_competitions,eur|intercontinental-cup,Intercontinental Cup,,european,NONE,,,,,,,
football_competitions,eur|cup-winners-cup,Cup Winners Cup,,european,NONE,,,,,,,
football_competitions,england|league-cup,League Cup,England,cup_minor,NONE,,,,,,,
football_competitions,eur|concacaf-champions-cup,CONCACAF Champions Cup,,european,T1,reep_lfe1742fc,CONCACAF Champions Cup,Q83335,,,549,
football_competitions,eur|uefa-cup,UEFA Cup,,european,NONE,,,,,,,
football_competitions,eur|uefa-super-cup,UEFA Super Cup,,european,T1,reep_la3f0116f,UEFA Super Cup,Q484028,122,USC,,
football_competitions,eur|asian-club-championship,Asian Club Championship,,european,NONE,,,,,,,
football_competitions,eur|recopa-sudamericana,Recopa Sudamericana,,european,NONE,,,,,,,
football_competitions,scotland|premier-division,Premier Division,Scotland,league,NONE,,,,,,,
football_competitions,france|division-1,Division 1,France,league,NONE,,,,,,,
football_competitions,germany|bundesliga,Bundesliga,Germany,league,AMB,,,,,,,Bundesliga:Q219592 | Bundesliga:Q82595
football_competitions,england|premier-league,Premier League,England,league,AMB,,,,,,,Premier League:Q9448 | Premier League:Q206073
football_competitions,netherlands|eredivisie,Eredivisie,Netherlands,league,T1,reep_lfe2d9011,Eredivisie,Q167541,23,NL1,akmkihra9ruad09ljapsm84b3,
football_competitions,eur|champions-league,Champions League,,european,NONE,,,,,,,
football_competitions,scotland|scottish-league-cup,Scottish League Cup,Scotland,cup_minor,NONE,,,,,,,
football_competitions,portugal|primeira-divisao,Primeira Divisão,Portugal,league,NONE,,,,,,,
football_competitions,italy|supercoppa-italiana,SuperCoppa Italiana,Italy,super,T1,reep_l269079c1,Supercoppa Italiana,Q19618,612,SCI,,
football_competitions,spain|la-liga,La Liga,Spain,league,T1,reep_ld517cd4f,La Liga,Q324867,12,ES1,23,
football_competitions,italy|serie-a,Serie A,Italy,league,AMB,,,,,,,Serie A:Q922935 | Serie A:Q15804
football_competitions,russia|russian-cup,Russian Cup,Russia,cup_major,T1,reep_l47d013d2,Russian Cup,,,RUP,,
football_competitions,spain|supercopa-de-espana,Supercopa de España,Spain,super,T1,reep_l2a4614b8,Supercopa de España,Q485997,646,SUC,,
football_competitions,germany|dfb-supercup,DFB-Supercup,Germany,super,NONE,,,,,,,
football_competitions,france|coupe-de-la-ligue,Coupe de la Ligue,France,cup_minor,T1,reep_l0becf968,Coupe de la Ligue,Q476539,693,,362,
football_competitions,france|trophee-des-champions,Trophée Des Champions,France,super,T1,reep_le5594bf2,Trophée des Champions,Q653544,604,FRCH,,
football_competitions,netherlands|johan-cruijff-schaal,Johan Cruijff-schaal,Netherlands,super,NONE,,,,,,,
football_competitions,eur|caf-champions-league,CAF Champions League,,european,T1,reep_ld7cecb28,CAF Champions League,Q219261,,,741,
football_competitions,eur|copa-sudamericana,Copa Sudamericana,,european,T1,reep_ldde3f606,Copa Sudamericana,Q60585,205,,,
football_competitions,eur|afc-champions-league,AFC Champions League,,european,NONE,,,,,,,
football_competitions,england|championship,Championship,England,league,NONE,,,,,,,
football_competitions,england|league-one,League One,England,league,NONE,,,,,,,
football_competitions,england|league-two,League Two,England,league,NONE,,,,,,,
football_competitions,sweden|svenska-cupen,Svenska Cupen,Sweden,cup_major,NONE,,,,,,,
football_competitions,norway|norwegian-cup,Norwegian Cup,Norway,cup_major,NONE,,,,,,,
football_competitions,ireland|fai-cup,FAI Cup,Ireland,cup_major,NONE,,,,,,,
football_competitions,eur|ofc-champions-league,OFC Champions League,,european,NONE,,,,,,,
football_competitions,austria|austrian-cup,Austrian Cup,Austria,cup_major,NONE,,,,,,,
football_competitions,poland|polish-cup,Polish Cup,Poland,cup_major,NONE,,,,,,,
football_competitions,greece|greek-cup,Greek Cup,Greece,cup_major,T2,reep_l6dab66cb,Greek Football Cup,Q1122820,,GRP,399,
football_competitions,turkey|turkish-cup,Turkish Cup,Turkey,cup_major,NONE,,,,,,,
football_competitions,belgium|beker-van-belgie,Beker van België,Belgium,cup_major,NONE,,,,,,,
football_competitions,switzerland|swiss-cup,Swiss Cup,Switzerland,cup_major,NONE,,,,,,,
football_competitions,eur|europa-league,Europa League,,european,NONE,,,,,,,
football_competitions,eur|europa-conference-league,Europa Conference League,,european,NONE,,,,,,,
football_competitions,england|national-league,National League,England,league,T1,reep_l6ec40ba9,National League,Q58916,34,,b5udgm9vakjqz8dcmy5b2g0xt,
football_competitions,portugal|taca-da-liga,Taça da Liga,Portugal,cup_minor,T1,reep_lc0e8e168,Taça da Liga,,,POCP,,
football_competitions,eur|fifa-club-world-cup,FIFA Club World Cup,,european,T1,reep_l2bc2c7fa,FIFA Club World Cup,Q223366,719,KLUB,,
champion_competitions,premier-league,Premier League,,Domestic,AMB,,,,,,,Premier League:Q9448 | Premier League:Q206073
champion_competitions,primeira-liga,Primeira Liga,,Domestic,T1,reep_l2e7b8b73,Primeira Liga,Q21929716,32,PO1,,
champion_competitions,champions-league,Champions League,,Continental,NONE,,,,,,,
champion_competitions,la-liga,La Liga,,Domestic,T1,reep_ld517cd4f,La Liga,Q324867,12,ES1,23,
champion_competitions,bundesliga,Bundesliga,,Domestic,AMB,,,,,,,Bundesliga:Q219592 | Bundesliga:Q82595
champion_competitions,serie-a,Serie A,,Domestic,AMB,,,,,,,Serie A:Q922935 | Serie A:Q15804
champion_competitions,ligue-1,Ligue 1,,Domestic,T1,reep_l55ddfaa7,Ligue 1,Q13394,13,FR1,24,
champion_competitions,eredivisie,Eredivisie,,Domestic,T1,reep_lfe2d9011,Eredivisie,Q167541,23,NL1,akmkihra9ruad09ljapsm84b3,
champion_competitions,scottish-premiership,Scottish Premiership,,Domestic,T1,reep_l8cc7cd9a,Scottish Premiership,Q14377162,40,SC1,e21cf135btr8t3upw0vl6n6x0,
champion_competitions,brasileiro-serie-a,Brasileiro Série A,,Domestic,NONE,,,,,,,
champion_competitions,argentina-primera-division,Argentina Primera División,,Domestic,NONE,,,,,,,
champion_competitions,major-league-soccer,Major League Soccer,,Domestic,T1,reep_l9c9cdd75,Major League Soccer,Q18543,22,MLS1,98,
champion_competitions,liga-mx,Liga MX,,Domestic,T1,reep_lbf367973,Liga MX,Q764690,31,MEX1,2hsidwomhjsaaytdy9u5niyi4,
