source,key,name,country,type
football_competitions,england|fa-cup,FA Cup,England,cup_major
football_competitions,scotland|scottish-cup,Scottish Cup,Scotland,cup_major
football_competitions,england|football-league,Football League,England,league
football_competitions,england|first-division,First Division,England,league
football_competitions,netherlands|knvb-beker,KNVB Beker,Netherlands,cup_major
football_competitions,spain|copa-del-rey,Copa del Rey,Spain,cup_major
football_competitions,england|fa-charity-shield,FA Charity Shield,England,super
football_competitions,france|coupe-de-france,Coupe de France,France,cup_major
football_competitions,portugal|campeonato-de-portugal,Campeonato de Portugal,Portugal,cup_major
football_competitions,italy|coppa-italia,Coppa Italia,Italy,cup_major
football_competitions,eur|mitropa-cup,Mitropa Cup,,european
football_competitions,germany|tschammer-pokal,Tschammer-Pokal,Germany,cup_major
football_competitions,soviet-union|soviet-cup,Soviet Cup,Soviet Union,cup_major
football_competitions,portugal|taca-de-portugal,Taça de Portugal,Portugal,cup_major
football_competitions,eur|latin-cup,Latin Cup,,european
football_competitions,germany|dfb-pokal,DFB-Pokal,Germany,cup_major
football_competitions,eur|inter-cities-fairs-cup,Inter-Cities Fairs Cup,,european
football_competitions,eur|european-cup,European Cup,,european
football_competitions,eur|copa-libertadores,Copa Libertadores,,european
football_competitions,eur|intercontinental-cup,Intercontinental Cup,,european
football_competitions,eur|cup-winners-cup,Cup Winners Cup,,european
football_competitions,england|league-cup,League Cup,England,cup_minor
football_competitions,eur|concacaf-champions-cup,CONCACAF Champions Cup,,european
football_competitions,eur|uefa-cup,UEFA Cup,,european
football_competitions,eur|uefa-super-cup,UEFA Super Cup,,european
football_competitions,eur|asian-club-championship,Asian Club Championship,,european
football_competitions,eur|recopa-sudamericana,Recopa Sudamericana,,european
football_competitions,scotland|premier-division,Premier Division,Scotland,league
football_competitions,france|division-1,Division 1,France,league
football_competitions,germany|bundesliga,Bundesliga,Germany,league
football_competitions,england|premier-league,Premier League,England,league
football_competitions,netherlands|eredivisie,Eredivisie,Netherlands,league
football_competitions,eur|champions-league,Champions League,,european
football_competitions,scotland|scottish-league-cup,Scottish League Cup,Scotland,cup_minor
football_competitions,portugal|primeira-divisao,Primeira Divisão,Portugal,league
football_competitions,italy|supercoppa-italiana,SuperCoppa Italiana,Italy,super
football_competitions,spain|la-liga,La Liga,Spain,league
football_competitions,italy|serie-a,Serie A,Italy,league
football_competitions,russia|russian-cup,Russian Cup,Russia,cup_major
football_competitions,spain|supercopa-de-espana,Supercopa de España,Spain,super
football_competitions,germany|dfb-supercup,DFB-Supercup,Germany,super
football_competitions,france|coupe-de-la-ligue,Coupe de la Ligue,France,cup_minor
football_competitions,france|trophee-des-champions,Trophée Des Champions,France,super
football_competitions,netherlands|johan-cruijff-schaal,Johan Cruijff-schaal,Netherlands,super
football_competitions,eur|caf-champions-league,CAF Champions League,,european
football_competitions,eur|copa-sudamericana,Copa Sudamericana,,european
football_competitions,eur|afc-champions-league,AFC Champions League,,european
football_competitions,england|championship,Championship,England,league
football_competitions,england|league-one,League One,England,league
football_competitions,england|league-two,League Two,England,league
football_competitions,sweden|svenska-cupen,Svenska Cupen,Sweden,cup_major
football_competitions,norway|norwegian-cup,Norwegian Cup,Norway,cup_major
football_competitions,ireland|fai-cup,FAI Cup,Ireland,cup_major
football_competitions,eur|ofc-champions-league,OFC Champions League,,european
football_competitions,austria|austrian-cup,Austrian Cup,Austria,cup_major
football_competitions,poland|polish-cup,Polish Cup,Poland,cup_major
football_competitions,greece|greek-cup,Greek Cup,Greece,cup_major
football_competitions,turkey|turkish-cup,Turkish Cup,Turkey,cup_major
football_competitions,belgium|beker-van-belgie,Beker van België,Belgium,cup_major
football_competitions,switzerland|swiss-cup,Swiss Cup,Switzerland,cup_major
football_competitions,eur|europa-league,Europa League,,european
football_competitions,eur|europa-conference-league,Europa Conference League,,european
football_competitions,england|national-league,National League,England,league
football_competitions,portugal|taca-da-liga,Taça da Liga,Portugal,cup_minor
football_competitions,eur|fifa-club-world-cup,FIFA Club World Cup,,european
champion_competitions,premier-league,Premier League,,Domestic
champion_competitions,primeira-liga,Primeira Liga,,Domestic
champion_competitions,champions-league,Champions League,,Continental
champion_competitions,la-liga,La Liga,,Domestic
champion_competitions,bundesliga,Bundesliga,,Domestic
champion_competitions,serie-a,Serie A,,Domestic
champion_competitions,ligue-1,Ligue 1,,Domestic
