sheet_row,team,ruling_type,reep_v1_id,reep_v1_label,ruled_by,ruled_on,note
3863,Iraklis,1,rt064457ebcc5b48,Iraklis Thessaloniki,Ashwin,2026-09-22,
680,Diamond Harbour FC,1,rt9d9636d6b0aea5,Diamond Harbour,Ashwin,2026-09-22,
884,Yadanarbon,1,rt0b6c7ec6a5e2fd,Yadanarbon,Ashwin,2026-09-22,
5840,CF Estrela Amadora,1,rtaba7f4ab1f6dea,Estrela Amadora,Ashwin,2026-09-22,
7797,FC Probiy Horodenka,1,rt38d864b85f9525,Probiy Horodenka,Ashwin,2026-09-22,
537,Auckland FC,4,rt34399263d5e622,Auckland,Ashwin,2026-09-22,accepted from RULINGS_NEEDED type 4 (name-identical option)
4755,KF Feronikeli,4,rtbdcaee8e92744f,Feronikeli,Ashwin,2026-09-22,accepted from RULINGS_NEEDED type 4 (name-identical option)
5417,FK Skopje,4,rta5c566411c48bb,Skopje,Ashwin,2026-09-22,accepted from RULINGS_NEEDED type 4 (name-identical option)
4351,Guidonia Montecelio,4,rta4c2a4ef7ecc4e,Guidonia Montecelio 1937,Ashwin,2026-09-22,accepted from RULINGS_NEEDED type 4 (name-identical option)
8759,Atlético Cearense,4,rtcee20857999034,Atlético Cearense,Ashwin,2026-09-22,accepted from RULINGS_NEEDED type 4 (name-identical option)
8762,Capital/DF,4,rtc8490d60c9141c,Capital Brasilia,Ashwin,2026-09-22,accepted from RULINGS_NEEDED type 4 (name-identical option)
8745,Central SC,4,rt9d6d52baf4fe3b,Central,Ashwin,2026-09-22,accepted from RULINGS_NEEDED type 4 (name-identical option)
8747,Galvez EC,4,rtda1d3ab4e309e8,Galvez,Ashwin,2026-09-22,accepted from RULINGS_NEEDED type 4 (name-identical option)
8749,Independência FC,4,rt8354685d68c3d4,Independência,Ashwin,2026-09-22,accepted from RULINGS_NEEDED type 4 (name-identical option)
8753,Manauara EC,4,rt5f06e8166b350b,Manauara,Ashwin,2026-09-22,accepted from RULINGS_NEEDED type 4 (name-identical option)
8795,Marica/RJ,4,rtcbbb22c10cf786,Maricá,Ashwin,2026-09-22,accepted from RULINGS_NEEDED type 4 (name-identical option)
8731,Mixto,4,rt0266f087f1a79c,Mixto,Ashwin,2026-09-22,accepted from RULINGS_NEEDED type 4 (name-identical option)
8793,Parnahyba SC,4,rta4937174fe7834,Parnahyba,Ashwin,2026-09-22,accepted from RULINGS_NEEDED type 4 (name-identical option)
8736,Tuna Luso Brasileira,4,rt285f70754e6991,Tuna Luso,Ashwin,2026-09-22,accepted from RULINGS_NEEDED type 4 (name-identical option)
8744,Vitória-ES,4,rte6faea79ae022b,Vitória ES,Ashwin,2026-09-22,accepted from RULINGS_NEEDED type 4 (name-identical option)
8804,Grêmio Atlético Sampaio,4,rt78e97396606e7c,GAS,Ashwin,2026-09-22,accepted from RULINGS_NEEDED type 4
920,Al Hazm,4,rt12ec4ba14f1471,Al Hazem,Ashwin,2026-09-22,accepted blind pair (Al Hazm = Al Hazem spelling)
