city,metro_slug
tri-cities,davenport
capital,washington-baltimore
alberta,edmonton
new westminster,vancouver
pittsburg,pittsburgh
oakland,san-francisco-san-jose
staten island,new-york
newark,new-york
brk-new york,new-york
jersey,philadelphia
(florida),miami
virginia,norfolk
kenosha,chicago
anaheim,los-angeles
utah,salt-lake-city-provo
minnesota,minneapolis
arizona,phoenix
rat portage,kenora-on
kenora,kenora-on
marion,columbus
moline,davenport
muncie,indianapolis
cornwall,cornwall-on
halifax,halifax-ns
quebec,quebec-city
brockville,ottawa
morrisburg,cornwall-on
smiths falls,ottawa
