metro_slug,league,sport,name,years,href,kind
london,football,Football/Soccer,Wimbledon F.C.,1889–2003,/teams/football/milton-keynes-dons,relocated
new-york,nfl,American Football,New York Yanks,1950–1951,/teams/nfl/texans-d,relocated
los-angeles,football,Football/Soccer,Chivas USA,2005–2014,/teams/football/chivas-usa,defunct
miami,football,Football/Soccer,Miami Fusion,1998–2001,/teams/football/miami-fusion,defunct
tampa,football,Football/Soccer,Tampa Bay Mutiny,1996–2001,/teams/football/tampa-bay-mutiny,defunct
london,rugby-union,Rugby Union,Wasps,1867–2014,/teams/rugby-union/clubs#premiership,relocated
coventry,rugby-union,Rugby Union,Wasps,2014–2022,/teams/rugby-union/clubs#premiership,defunct
bordeaux,rugby-union,Rugby Union,Stade Bordelais,1899–1911,/teams/rugby-union/clubs#top14,defunct
lyon,rugby-union,Rugby Union,FC Lyon,1910,/teams/rugby-union/clubs#top14,defunct
paris,rugby-union,Rugby Union,Olympique,1896,/teams/rugby-union/clubs#top14,defunct
cumilla,cricket-t20,T20 Cricket,Comilla Victorians,2015–2024,/teams/cricket/t20#bpl,defunct
kingston,cricket-t20,T20 Cricket,Jamaica Tallawahs,2013–2023,/teams/cricket/t20#cpl,defunct
tokyo,npb,Baseball,Takahashi/Tombo Unions,1954–1956,/teams/baseball/npb,defunct
tokyo,npb,Baseball,Daiei Stars,1950–1957,/teams/baseball/npb,defunct
osaka-kyoto-kobe,npb,Baseball,Kintetsu Buffaloes,1950–2004,/teams/baseball/npb,defunct
